"","ReefID","score","DHW_25km_max_02","DHW_5km_max","DHW_5km_ytd","region","Long_unique","Lat_unique","X","Y","bin.score","year"
"1","09-245d",4,3.8,8.14,8.14,"North",142.165466,-9.93455,-4956.27478947728,3849.2677474312,1,"2016"
"2","09-246",4,3.97,8.01,8.01,"North",142.220169,-10.005934,-4958.86141878651,3843.69208005577,1,"2016"
"3","09-249b",4,3.8,8.14,8.14,"North",142.187546,-9.931314,-4957.80684412382,3847.39552132015,1,"2016"
"4","09-251j",4,3.8,8.14,8.14,"North",142.174988,-9.93969,-4956.8365256575,3848.38352503241,1,"2016"
"5","09-252",4,3.8,8.14,8.14,"North",142.176895,-9.936644,-4957.01078404817,3848.25438823939,1,"2016"
"6","09-255d",4,3.8,8.12,8.12,"North",142.208374,-9.955489,-4958.8382992232,3845.30857678133,1,"2016"
"7","09-256b",4,3.8,8.2,8.2,"North",142.210663,-9.945781,-4959.1393294863,3845.22476566039,1,"2016"
"8","09-258c",4,3.8,8.12,8.12,"North",142.213699,-9.965198,-4959.04808058145,3844.73327697379,1,"2016"
"9","09-258d",4,3.8,8.12,8.12,"North",142.21637,-9.972812,-4959.11147237773,3844.4122948494,1,"2016"
"10","09-258e",4,3.8,8.12,8.12,"North",142.214661,-9.968815,-4959.05761816681,3844.60736217895,1,"2016"
"11","09-259",4,3.8,8.2,8.2,"North",142.218307,-9.937154,-4959.78317962171,3844.66458077033,1,"2016"
"12","09-260a",4,3.8,8.12,8.12,"North",142.23674,-9.97719,-4960.41127538636,3842.59733043377,1,"2016"
"13","09-270",4,3.7,7.08,7.08,"North",142.360458,-9.680933,-4973.15008173476,3835.31168552373,1,"2016"
"14","09-279",4,3.78,7.96,7.96,"North",142.275299,-9.916348,-4963.92046080724,3839.97322167721,1,"2016"
"15","09-279a",4,3.78,7.96,7.96,"North",142.260529,-9.903383,-4963.12660965812,3841.40457693857,1,"2016"
"16","09-279b",4,3.78,7.96,7.96,"North",142.267609,-9.907755,-4963.53511126151,3840.74007875202,1,"2016"
