"","ReefID","score","DHW_5km_max_16","DHW_5km_max_17","DHW_5km_max","region","Long_unique","Lat_unique","X","Y","bin.score","year"
"251","10-514",0,6.58,2.9,2.84,"North",143.950272,-10.653148,-5062.21412030992,3684.63087963411,0,"2020"
"259","10-541a",3,9.48,4.39,8.21,"North",142.838074,-10.212761,-4996.80740630047,3787.55236747133,1,"2020"
"260","10-542a",2,9.93,4.21,8.43,"North",142.838608,-10.257154,-4996.14371019758,3786.9759718565,0,"2020"
"266","10-544a",3,9.84,3.9,8.5,"North",142.838654,-10.335528,-4994.90537975004,3786.03102826306,1,"2020"
"267","10-545a4",2,9.21,4.39,7.31,"North",142.881653,-10.0307,-5002.52366014806,3785.89767312774,0,"2020"
"268","10-547b",2,8.86,4.24,7.37,"North",142.818588,-10.143278,-4996.60673415196,3790.07662338541,0,"2020"
"272","10-551b",2,9.12,3.99,6.53,"North",143.033951,-10.000253,-5013.03971896067,3772.94116556241,0,"2020"
"273","10-554a",2,8.71,4.11,6.75,"North",143.081268,-10.055056,-5015.30552705851,3768.16255445274,0,"2020"
"278","10-562",1,8.75,4.94,8.32,"North",143.247574,-10.413011,-5020.5557408876,3749.35791482174,0,"2020"
"279","10-563a",1,8.33,4.92,7.52,"North",143.244995,-10.329537,-5021.72576170327,3750.58380217823,0,"2020"
"280","10-565",1,7.34,4.69,7.75,"North",143.300369,-10.386799,-5024.43029336021,3745.04458390504,0,"2020"
"284","10-572",1,6.78,4.06,7.13,"North",143.385986,-10.324091,-5031.02695880605,3738.2799563897,0,"2020"
"285","10-575",2,11.33,5.06,9.08,"North",143.089798,-10.598388,-5007.20691316065,3760.91166601593,0,"2020"
"287","10-576a",2,10.49,5.12,9.09,"North",143.100449,-10.521509,-5009.1587899002,3760.92142112133,0,"2020"
"288","10-577a",2,10.06,5.02,8.81,"North",143.138504,-10.473643,-5012.43149327917,3758.17530120571,0,"2020"
"289","10-582a",1,10.35,4.93,9.33,"North",143.25145,-10.560167,-5018.42306784705,3747.23642890904,0,"2020"
"290","10-583",1,8.87,5.03,8.65,"North",143.291275,-10.476055,-5022.39521011644,3744.76787992341,0,"2020"
"291","10-585",2,8.18,4.38,8.73,"North",143.354553,-10.539668,-5025.49288978673,3738.44887313843,0,"2020"
"297","10-607",1,5.19,2.96,4.81,"North",143.503891,-10.063713,-5042.82825420203,3730.96666785781,0,"2020"
"298","10-609",1,5.1,2.75,3.89,"North",143.535156,-10.001525,-5045.83221409372,3728.93031639163,0,"2020"
"299","10-612",1,4.48,2.78,3.41,"North",143.583725,-10.043373,-5048.33968332944,3724.17092734917,0,"2020"
"300","10-613",0,4.85,2.84,4.44,"North",143.588348,-10.078931,-5048.0842704018,3723.35357218458,0,"2020"
"308","10-633",0,5.03,3.24,6.6,"North",143.54744,-10.37418,-5040.73628155209,3723.49369086833,0,"2020"
"309","10-634",0,4.48,2.92,6.31,"North",143.55864,-10.403483,-5040.99136339762,3722.15925655598,0,"2020"
"310","10-635",0,4.44,3.2,5.97,"North",143.568085,-10.373318,-5042.09150196106,3721.68740473412,0,"2020"
"311","10-636",0,4.44,3.2,5.97,"North",143.594131,-10.368886,-5043.85422041399,3719.44759805476,0,"2020"
"312","10-637",0,4.19,2.94,5.89,"North",143.606079,-10.487197,-5042.71299816957,3716.98288657256,0,"2020"
"313","10-638",0,3.36,2.52,5.13,"North",143.67746,-10.41502,-5048.51278567275,3711.55995869158,0,"2020"
"314","10-644",2,2.88,2.15,1.68,"North",143.807327,-10.050289,-5062.72684839516,3704.36179085093,0,"2020"
"315","10-645",1,2.69,1.99,1.13,"North",143.855057,-10.04785,-5065.8492083648,3700.17093585123,0,"2020"
"321","10-686",0,5.15,2.42,0.95,"North",144.062881,-10.063721,-5078.98767179537,3681.5908731954,0,"2020"
"322","10-686b",0,5.15,2.42,0.95,"North",144.066452,-10.060901,-5079.26148030434,3681.30646587775,0,"2020"
"326","10-690",0,4.08,2.36,0.93,"North",144.093094,-10.021862,-5081.58575773873,3679.38814848465,0,"2020"
"327","10-691",0,4.08,2.36,0.93,"North",144.100006,-10.017488,-5082.09813834858,3678.82471314395,0,"2020"
"328","10-692",0,6.06,2.73,1.28,"North",144.106949,-10.003777,-5082.75859174531,3678.36422183866,0,"2020"
"329","10-699",1,4.57,1.73,1.23,"North",143.968552,-10.216792,-5070.49623290421,3688.18496865282,0,"2020"
"330","10-700",0,4.57,1.73,1.23,"North",143.971313,-10.206156,-5070.84351671295,3688.06394791503,0,"2020"
"331","10-702",0,4.13,1.74,1.04,"North",143.996063,-10.176412,-5072.90957919211,3686.21715630646,0,"2020"
"332","10-705",0,5.49,2.22,1.24,"North",144.002686,-10.164372,-5073.52690313339,3685.76968022957,0,"2020"
"333","10-707",0,5.49,2.22,1.24,"North",144.007919,-10.150571,-5074.08248359283,3685.46532802116,0,"2020"
"334","10-708",0,4.74,2.38,0.92,"North",144.012436,-10.13915,-5074.55401229165,3685.19673424778,0,"2020"
"335","10-709a",0,4.74,2.38,0.92,"North",144.021225,-10.134229,-5075.19718312452,3684.47484674171,0,"2020"
"336","10-710",0,4.74,2.38,0.92,"North",144.018143,-10.124873,-5075.14704326168,3684.85534130403,0,"2020"
"337","10-711",1,4.74,2.38,0.92,"North",144.022507,-10.118794,-5075.52382316678,3684.53856337085,0,"2020"
"339","10-713",0,3.96,2.07,0.77,"North",144.035278,-10.098699,-5076.66239307936,3683.6374837061,0,"2020"
"340","10-714",0,3.96,2.07,0.77,"North",144.03627,-10.088383,-5076.88888392235,3683.66764909714,0,"2020"
"341","10-716",0,3.96,2.07,0.77,"North",144.044769,-10.079444,-5077.5761238413,3683.01671057796,0,"2020"
"343","10-724",0,4.89,1.99,1.62,"North",143.938721,-10.365198,-5066.19213508786,3689.08905373719,0,"2020"
"345","10-728",1,4.78,2.15,1.44,"North",143.945145,-10.309805,-5067.49929509705,3689.1715349438,0,"2020"
"346","10-729",0,4.78,2.15,1.44,"North",143.940857,-10.341928,-5066.70559773281,3689.17390923402,0,"2020"
"347","10-730",0,4.89,1.99,1.62,"North",143.939911,-10.354967,-5066.43414103988,3689.10425684074,0,"2020"
"348","10-732",0,5.15,1.73,1.29,"North",143.951096,-10.284821,-5068.2839513863,3688.93741920238,0,"2020"
"349","10-733",0,4.38,2.28,1.23,"North",143.948593,-10.275916,-5068.26566491631,3689.26282506689,0,"2020"
"350","10-734",0,5.15,1.73,1.29,"North",143.954193,-10.272209,-5068.68566672296,3688.81070376231,0,"2020"
"352","10-741",0,5.15,1.73,1.29,"North",143.958466,-10.256742,-5069.20856048568,3688.61299624576,0,"2020"
"353","10-744",0,4.57,1.73,1.23,"North",143.963699,-10.225904,-5070.03843197341,3688.50865752704,0,"2020"
"354","10-744a",0,4.57,1.73,1.23,"North",143.969193,-10.234236,-5070.25902750483,3687.92569505959,0,"2020"
"355","10-749",0,5.19,2.26,1.56,"North",143.904968,-10.470847,-5062.30148324937,3690.82142722457,0,"2020"
"356","10-752",0,5.19,2.26,1.56,"North",143.910446,-10.488368,-5062.36798072999,3690.12867392394,0,"2020"
"357","10-755",0,4.89,1.99,1.62,"North",143.9254,-10.39675,-5064.82333288189,3689.89456150414,0,"2020"
"358","10-756",0,5.11,1.98,1.52,"North",143.93074,-10.43911,-5064.47874953148,3688.92103167007,0,"2020"
"359","10-757",0,5.11,1.98,1.52,"North",143.934387,-10.421502,-5065.00007296617,3688.80733419484,0,"2020"
"360","10-762",0,5.33,2.24,1.56,"North",143.907669,-10.542691,-5061.29831320309,3689.72462478195,0,"2020"
"361","10-762c",0,5.33,2.24,1.56,"North",143.929489,-10.536633,-5062.80270151429,3687.86940578406,0,"2020"
"362","10-763",0,5.33,2.24,1.56,"North",143.911469,-10.531542,-5061.72621935614,3689.52247822049,0,"2020"
"363","10-764",0,5.61,2.25,1.58,"North",143.917252,-10.553486,-5061.73778286622,3688.7486315767,0,"2020"
"364","10-765",0,5.61,2.25,1.58,"North",143.916611,-10.580029,-5061.25910607804,3688.48649037525,0,"2020"
"365","10-766",0,5.33,2.24,1.56,"North",143.91655,-10.520473,-5062.23509999643,3689.20601596284,0,"2020"
"368","11-001",3,12.06,3.41,9.25,"North",142.990005,-11.01,-4993.79784036737,3764.46258891215,1,"2020"
"373","11-025",2,12.45,3.68,9.78,"North",143.089996,-11.07,-4999.33833154809,3754.97455370121,0,"2020"
"374","11-026",3,12.35,3.55,9.66,"North",143.020004,-11.11,-4994.06411809338,3760.56426005796,1,"2020"
"375","11-034",2,12.69,3.74,10.25,"North",143.100006,-11.17,-4998.27930942754,3752.81344068132,0,"2020"
"376","11-035",3,12.48,3.57,10.05,"North",143.029999,-11.18,-4993.51801844106,3758.7881959638,1,"2020"
"377","11-036",1,12.98,3.72,10.06,"North",143.197571,-11.184441,-5004.41323024141,3744.11031371222,0,"2020"
"379","11-039",2,12.87,3.37,9.95,"North",143.257141,-11.241449,-5007.31548607367,3738.16783387272,0,"2020"
"380","11-040",2,12.7,3.49,10.19,"North",143.149689,-11.271382,-4999.77626138533,3747.16228545145,0,"2020"
"381","11-042",2,12.79,3.61,10.25,"North",143.196274,-11.294984,-5002.41013469978,3742.7883016554,0,"2020"
"382","11-046",3,12.62,3.53,9.64,"North",143.126297,-11.319139,-4997.41395463937,3748.57909812915,1,"2020"
"383","11-047",2,12.62,3.53,9.64,"North",143.127777,-11.341624,-4997.11782756546,3748.1552685363,0,"2020"
"384","11-050",3,12.45,4.28,9.9,"North",143.160645,-11.377286,-4998.64206597223,3744.81973675646,1,"2020"
"387","11-054",3,12.04,4.47,9.85,"North",143.165771,-11.432157,-4998.01144818352,3743.64923152975,1,"2020"
"388","11-055",2,11.57,3.71,9.38,"North",143.039993,-11.46,-4989.29027266235,3754.24263284637,0,"2020"
"390","11-058",2,11.82,4.07,9.61,"North",143.12471,-11.468136,-4994.69196787493,3746.75351542884,0,"2020"
"391","11-059",3,11.75,4.23,9.98,"North",143.15683,-11.469568,-4996.76627456401,3743.93391909463,1,"2020"
"392","11-060",3,11.8,4.07,9.47,"North",143.07515,-11.482043,-4991.20327762568,3750.88762700973,1,"2020"
"393","11-061",3,11.57,3.71,9.38,"North",143.039993,-11.49,-4988.75999178231,3753.84361755994,1,"2020"
"394","11-062",3,11.57,3.71,9.38,"North",143.026306,-11.495616,-4987.76371652512,3754.96040769359,1,"2020"
"396","11-073",0,8.95,5.7,4.92,"North",144.005783,-11.282431,-5055.01051913893,3671.90064074814,0,"2020"
"397","11-074",1,8.16,5.38,4.73,"North",143.996323,-11.294886,-5054.18487248922,3672.57584945456,0,"2020"
"398","11-075",0,8.16,5.38,4.73,"North",143.979233,-11.295312,-5053.08169968704,3674.0777759156,0,"2020"
"399","11-076",0,8.72,5.72,5.02,"North",143.980789,-11.309265,-5052.93553665951,3673.76173501885,0,"2020"
"400","11-077",1,8.72,5.72,5.02,"North",143.962418,-11.322353,-5051.52643133593,3675.21369304462,0,"2020"
"401","11-081",0,8.72,5.72,5.02,"North",143.956589,-11.348222,-5050.69535914307,3675.39492584674,0,"2020"
"402","11-082",0,8.78,6.19,4.88,"North",143.952011,-11.355857,-5050.26656286138,3675.70013312854,0,"2020"
"403","11-083",0,8.78,6.19,4.88,"North",143.96405,-11.361001,-5050.94769555169,3674.57261754553,0,"2020"
"404","11-087b",0,8.78,6.19,4.88,"North",143.959045,-11.371507,-5050.44052421619,3674.87836283701,0,"2020"
"405","11-088",0,8.78,6.19,4.88,"North",143.959976,-11.383248,-5050.29198489556,3674.6447714927,0,"2020"
"406","11-089b",0,8.78,6.19,4.88,"North",143.958496,-11.39222,-5050.03778631852,3674.65932538547,0,"2020"
"407","11-091",0,8.78,6.19,4.88,"North",143.960007,-11.4,-5049.99647316406,3674.42557525438,0,"2020"
"408","11-094",0,8.84,6.43,5.5,"North",143.964935,-11.411647,-5050.10538395343,3673.8405463927,0,"2020"
"409","11-095",0,8.84,6.43,5.5,"North",143.969559,-11.416037,-5050.32373940123,3673.37614833281,0,"2020"
"410","11-096",0,8.84,6.43,5.5,"North",143.975052,-11.421157,-5050.58472992226,3672.8256626137,0,"2020"
"411","11-097",0,8.84,6.43,5.5,"North",143.974152,-11.427407,-5050.41570854227,3672.82403516689,0,"2020"
"412","11-102",0,8.85,6.79,5.75,"North",143.967728,-11.463073,-5049.36748117036,3672.92734577426,0,"2020"
"413","11-107",0,9.5,7.64,6.07,"North",144.017929,-11.475397,-5052.3631655034,3668.3417241298,0,"2020"
"414","11-108",0,8.54,6.27,6.5,"North",143.90094,-11.47789,-5044.81789411039,3678.61770676052,0,"2020"
"415","11-109a",0,8.54,6.27,6.5,"North",143.924164,-11.492071,-5046.05479111324,3676.38767945828,0,"2020"
"416","11-109b",0,8.54,6.27,6.5,"North",143.945618,-11.482652,-5047.59966355928,3674.62072291343,0,"2020"
"417","11-110",0,8.53,6.3,6.86,"North",143.858124,-11.489939,-5041.85211771301,3682.22925072063,0,"2020"
"418","11-112",0,6.48,4.02,4.63,"North",143.99794,-11.030667,-5058.88995585958,3675.77660212121,0,"2020"
"419","11-113",0,8.23,4.57,4.75,"North",144.017319,-11.039342,-5059.98350831775,3673.95685584499,0,"2020"
"420","11-114",1,8.23,4.57,4.75,"North",144.022385,-11.049008,-5060.14171253999,3673.38848790355,0,"2020"
"421","11-115",0,8,4.42,4.87,"North",144.033554,-11.054873,-5060.75650674307,3672.32859075765,0,"2020"
"422","11-116",0,8,4.42,4.87,"North",144.04071,-11.069192,-5060.96784487413,3671.51710346167,0,"2020"
"423","11-117",0,8.42,4.64,5.17,"North",144.044006,-11.103425,-5060.58655482063,3670.79618590552,0,"2020"
"425","11-119",0,9.26,5.13,5.29,"North",144.058441,-11.145983,-5060.77197935008,3668.98518387364,0,"2020"
"426","11-120",0,9.15,5.21,5.38,"North",144.060028,-11.185172,-5060.19040961439,3668.34973150745,0,"2020"
"430","11-125",0,9.44,6.21,5.01,"North",144.065659,-11.261312,-5059.21667645962,3666.88535851904,0,"2020"
"431","11-126a",0,8.95,5.7,4.92,"North",144.012512,-11.263567,-5055.77350887775,3671.54788388821,0,"2020"
"432","11-126b",1,8.95,5.7,4.92,"North",144.018326,-11.269264,-5056.04589755125,3670.96212401151,0,"2020"
"434","11-128",1,8.95,5.7,4.92,"North",144.034225,-11.279285,-5056.88803770835,3669.43103785323,0,"2020"
"435","11-129",2,8.95,5.7,4.92,"North",144.044113,-11.276286,-5057.57401645151,3668.59656721116,0,"2020"
"436","11-130",0,9.38,7.53,5.42,"North",144.038239,-11.424671,-5054.56949117706,3667.20809406342,0,"2020"
"437","11-131",0,10.16,8.75,6.21,"North",144.069931,-11.494019,-5055.35665320077,3663.51273096614,0,"2020"
"440","11-136",3,11.48,3.13,8.35,"North",142.940002,-11.6,-4980.24780284359,3761.06887036959,1,"2020"
"441","11-137",3,11.55,3.74,8.18,"North",142.907455,-11.651376,-4977.19223321112,3763.20300098754,1,"2020"
"442","11-138",2,11.16,4.08,8.39,"North",142.990005,-11.73,-4981.19438029307,3754.96175298383,0,"2020"
"443","11-139",2,11.37,4.56,7.96,"North",142.970001,-11.76,-4979.34099993824,3756.29170063293,0,"2020"
"448","11-144",4,11.42,4.58,7.27,"North",142.878342,-11.780838,-4972.94861793516,3763.96734175533,1,"2020"
"450","11-147",2,11.39,4.77,7.41,"North",142.900162,-11.805338,-4973.93761088124,3761.73736259773,0,"2020"
"453","11-154",3,11.37,4.23,9.48,"North",143.081818,-11.518341,-4990.99641955913,3749.82337456396,1,"2020"
"454","11-155",2,11.36,4.69,10.01,"North",143.177902,-11.531647,-4997.04115025128,3741.2711256178,0,"2020"
"456","11-158",3,11.18,4.69,9.94,"North",143.231873,-11.58027,-4999.69548500718,3735.9140858139,1,"2020"
"457","11-159",3,11.11,4.83,10.03,"North",143.178528,-11.5902,-4996.03750301413,3740.43451506511,1,"2020"
"458","11-161",3,11.46,4.12,9.08,"North",143.009995,-11.6,-4984.83863858405,3754.98215344243,1,"2020"
"459","11-162",3,11.38,5.6,10.15,"North",143.290817,-11.604044,-5003.11036714711,3730.45105911248,1,"2020"
"469","11-181",3,10.88,4.8,9.34,"North",143.207535,-11.927081,-4991.81727579185,3733.33266366776,1,"2020"
"475","11-186",3,10.48,4.71,9.27,"North",143.270004,-11.96,-4995.27760088692,3727.43488969698,1,"2020"
"476","11-187",3,10.48,4.71,9.27,"North",143.267731,-11.969953,-4994.94584337484,3727.49583404957,1,"2020"
"477","11-188",4,10.48,4.71,9.27,"North",143.28363,-11.968041,-4996.01533662666,3726.13600321793,1,"2020"
"481","11-191",4,10.48,4.71,9.27,"North",143.259995,-11.99,-4994.07172864604,3727.89343147333,1,"2020"
"485","11-197",0,8.67,6.62,7.21,"North",143.86937,-11.51365,-5042.15015430779,3680.92958530301,0,"2020"
"486","11-201",0,8.67,6.62,7.21,"North",143.866837,-11.530817,-5041.6794652722,3680.92765460762,0,"2020"
"487","11-202",0,8.67,6.62,7.21,"North",143.878311,-11.526752,-5042.48947562104,3679.97119333927,0,"2020"
"488","11-203",1,8.67,6.62,7.21,"North",143.855957,-11.539862,-5040.81798148638,3681.76633566574,0,"2020"
"489","11-204",1,8.92,7.07,7.22,"North",143.865021,-11.550422,-5041.21056196934,3680.83026736098,0,"2020"
"490","11-208a",1,8.92,7.07,7.22,"North",143.861786,-11.558814,-5040.85178010513,3681.00466711958,0,"2020"
"491","11-208b",0,8.92,7.07,7.22,"North",143.864838,-11.564214,-5040.95065857497,3680.66518347684,0,"2020"
"492","11-210a",0,8.92,7.07,7.22,"North",143.868744,-11.569716,-5041.10248828915,3680.24918797946,0,"2020"
"493","11-210b",1,8.92,7.07,7.22,"North",143.875137,-11.572069,-5041.4707050522,3679.65574489467,0,"2020"
"494","11-212",1,8.92,7.07,7.22,"North",143.855316,-11.592343,-5039.8319548384,3681.13261404439,0,"2020"
"495","11-215",1,9.3,7.5,7.47,"North",143.879593,-11.630122,-5040.70826909503,3678.4984287269,0,"2020"
"498","11-223",0,9.73,9.55,7.69,"North",143.894836,-11.76935,-5039.15030776487,3675.30733173325,0,"2020"
"499","11-224",0,9.73,9.55,7.69,"North",143.8694,-11.781277,-5037.29959268468,3677.384478243,0,"2020"
"500","11-225",0,9.73,9.55,7.69,"North",143.869507,-11.791147,-5037.12539967767,3677.24289180596,0,"2020"
"502","11-227",0,9.64,9.58,7.33,"North",143.865005,-11.808615,-5036.51565555599,3677.40444667444,0,"2020"
"503","11-228",0,11.73,11.05,8.04,"North",143.969101,-11.801979,-5043.31059708549,3668.33674973067,0,"2020"
"504","11-229a",0,9.64,9.58,7.33,"North",143.856049,-11.825835,-5035.6241148212,3677.96038480917,0,"2020"
"505","11-229b",0,9.03,8.93,7.4,"North",143.842743,-11.844261,-5034.43055220047,3678.88179846504,0,"2020"
"508","11-232",0,8.92,8.79,7.16,"North",143.838226,-11.870151,-5033.66293693165,3678.92964513571,0,"2020"
"509","11-236",0,8.92,8.79,7.16,"North",143.833908,-11.897492,-5032.880243676,3678.939533922,0,"2020"
"512","11-238",0,9.91,9.56,6.75,"North",143.853027,-11.926991,-5033.56085319282,3676.86053774337,0,"2020"
"513","11-239",0,9.9,9.1,6.68,"North",143.868088,-11.953409,-5034.03633638218,3675.17891034904,0,"2020"
"515","11-241",0,9.9,9.1,6.68,"North",143.884109,-11.979672,-5034.57465218475,3673.41426009491,0,"2020"
"516","11-242",0,11.05,10.85,7.1,"North",143.904602,-11.993566,-5035.62893567873,3671.42427930745,0,"2020"
"518","11-244a",0,10.78,10.32,8.36,"North",144.018341,-11.681368,-5048.66978454627,3665.60464948815,0,"2020"
"519","11-244b",0,12.55,13.28,9.12,"North",144.070328,-11.777905,-5050.22662788715,3659.74173803269,0,"2020"
"520","11-244c",0,11.39,10.57,8.11,"North",143.997635,-11.784178,-5045.46411937414,3666.0624615221,0,"2020"
"523","11-283",0,9.3,7.5,7.47,"North",143.89357,-11.63201,-5041.57127381641,3677.24372380313,0,"2020"
"524","11-290",0,8.85,6.79,5.75,"North",143.983383,-11.47064,-5050.23555271229,3671.44920328298,0,"2020"
"525","12-001",4,10.36,4.73,9.05,"North",143.300003,-12.03,-4995.93154197506,3723.85219884029,1,"2020"
"527","12-003a",3,9.1,6.51,7.55,"North",143.477356,-12.10138,-5006.10107795292,3707.3826019952,1,"2020"
"528","12-003b",2,9.94,5.86,7.91,"North",143.351624,-12.113585,-4997.72503030461,3718.18933138026,0,"2020"
"529","12-004",3,10.37,5.04,8.81,"North",143.259995,-12.1,-4992.02629778637,3726.36659151575,1,"2020"
"530","12-005",3,10.9,5.59,8.19,"North",143.218521,-12.126659,-4988.82941016427,3729.60666711083,1,"2020"
"531","12-006",3,10.8,5.68,8.41,"North",143.270004,-12.14,-4991.92872762557,3724.93598812776,1,"2020"
