"","ReefID","score","DHW_5km_max_16","DHW_5km_max_17","DHW_5km_max","region","Long_unique","Lat_unique","X","Y","bin.score","year"
"36","09-372a",2,8.91,3.46,6.6,"North",142.925079,-9.850145,-5008.15678699843,3784.19439018734,0,"2020"
"37","09-376",2,8.91,3.46,6.6,"North",142.936188,-9.884068,-5008.37460515027,3782.83370985007,0,"2020"
"40","09-396a",2,8.43,2.99,6.14,"North",143.12883,-9.98863,-5019.46008740788,3764.76923406929,0,"2020"
"41","09-400a",2,7.22,3.04,5.26,"North",143.294846,-9.957231,-5030.83228038449,3750.57083448055,0,"2020"
"43","09-406a",1,6.05,2.73,4.28,"North",143.398651,-9.959761,-5037.58001880651,3741.4211212496,0,"2020"
"48","09-411",1,5.46,2.4,4.12,"North",143.436035,-9.974307,-5039.7952728519,3737.96666435398,0,"2020"
"63","09-484",1,4.06,2.42,2.37,"North",143.603546,-9.985343,-5050.53092517441,3723.0900819054,0,"2020"
"71","09-531",1,2.69,2.1,1.17,"North",143.872192,-9.966473,-5068.22560097714,3699.58283873039,0,"2020"
"72","09-533",1,2.54,1.57,1.31,"North",143.940628,-9.909917,-5073.51829298689,3694.16540304599,0,"2020"
"73","09-542",1,2.61,1.53,1.28,"North",143.981293,-9.91195,-5076.10743471075,3690.54072326709,0,"2020"
"74","09-542a",0,2.61,1.53,1.28,"North",143.996262,-9.925035,-5076.8687022168,3689.06709976758,0,"2020"
"76","09-545a",0,3.28,1.65,0.94,"North",144.066208,-9.918502,-5081.46983438916,3682.94002648856,0,"2020"
"118","10-138h",2,8.43,2.82,8.12,"North",142.332581,-10.15696,-4964.06610727611,3832.15925931659,0,"2020"
"121","10-148d",0,5.61,2.25,1.58,"North",143.931686,-10.561482,-5062.53521594633,3687.37744698859,0,"2020"
"132","10-182",2,8.91,2.22,8.42,"North",142.21463,-10.361593,-4952.963784911,3839.88728808677,0,"2020"
"133","10-183a",3,8.9,2.27,8.72,"North",142.221466,-10.348804,-4953.6239254029,3839.45291318707,1,"2020"
"139","10-204",4,9,2.62,8.54,"North",142.305344,-10.312576,-4959.81099634657,3832.6386737713,1,"2020"
"141","10-214",3,8.99,1.92,8.35,"North",142.237518,-10.415727,-4953.63920408171,3837.2436984802,1,"2020"
"142","10-215",4,9.06,1.25,8.11,"North",142.240799,-10.479377,-4952.84427896125,3836.17413609976,1,"2020"
"143","10-216",3,9.06,1.25,8.11,"North",142.233368,-10.450823,-4952.80259680259,3837.16966737785,1,"2020"
"148","10-273a",3,8.86,0.77,7.44,"North",142.249939,-10.554559,-4952.24966441492,3834.44981242685,1,"2020"
"149","10-282",4,8.92,0.62,7.58,"North",142.330002,-10.553981,-4957.61226411945,3827.53317498803,1,"2020"
"151","10-283b",3,9.04,0.95,8.21,"North",142.348053,-10.548932,-4958.8992760224,3826.03389337364,1,"2020"
"152","10-284",3,8.93,0.93,8.35,"North",142.353546,-10.544949,-4959.33024704146,3825.60797612655,1,"2020"
"153","10-284a",3,8.93,0.93,8.35,"North",142.350601,-10.543684,-4959.15398483245,3825.87860340419,1,"2020"
"155","10-299",1,12.85,4.05,10.05,"North",143.089615,-10.775389,-5004.27661605368,3758.73572124722,0,"2020"
"157","10-302",2,11.18,3.2,8.93,"North",142.912643,-10.599517,-4995.53607128029,3776.36171305677,0,"2020"
"162","10-318a",2,9.85,0.45,7.43,"North",142.592972,-10.715309,-4972.49749321294,3802.7279632103,0,"2020"
"171","10-325a",2,10.57,1.25,8.44,"North",142.713669,-10.660006,-4981.40448293399,3792.93554526611,0,"2020"
"176","10-336",3,11.3,1.52,8.96,"North",142.759995,-10.82,-4981.83025643413,3786.90035876397,1,"2020"
"178","10-338",3,12.09,3.37,9.77,"North",142.979996,-10.8,-4996.66723712595,3767.99467988677,1,"2020"
"180","10-341",4,11.37,1.49,9.04,"North",142.776794,-10.898384,-4981.63282059109,3784.44622769205,1,"2020"
"182","10-346a",1,11.1,5.66,9.66,"North",143.204239,-10.632169,-5014.15475868014,3750.48845716522,0,"2020"
"183","10-347a",2,12.08,4.52,9.18,"North",143.03244,-10.64359,-5002.69924374118,3765.36532743467,0,"2020"
"186","10-351",2,12.94,5.29,10.51,"North",143.190323,-10.731805,-5011.59953328299,3750.47576344489,0,"2020"
"188","10-353",1,12.85,4.05,10.05,"North",143.093735,-10.751884,-5004.93719243068,3758.6689842971,0,"2020"
"191","10-381",0,6.58,2.9,2.84,"North",143.964493,-10.687881,-5062.55022128915,3682.95361485756,0,"2020"
"192","10-383",0,5.39,2.9,2.19,"North",143.948013,-10.672799,-5061.74196382992,3684.59251993428,0,"2020"
"193","10-384",0,6.66,3.27,3.01,"North",143.963776,-10.709744,-5062.13917769896,3682.75145959336,0,"2020"
"194","10-386",0,6.66,3.27,3.01,"North",143.979614,-10.723167,-5062.93251200839,3681.18880113832,0,"2020"
"199","10-391",0,6.3,3.25,3.48,"North",143.982346,-10.755391,-5062.56798739359,3680.55476297524,0,"2020"
"202","10-399",0,6.3,3.25,3.48,"North",143.985291,-10.785673,-5062.24818201532,3679.92454781826,0,"2020"
"203","10-400",0,6.3,3.25,3.48,"North",143.989792,-10.794349,-5062.39115630042,3679.42067612287,0,"2020"
"204","10-402",1,8.02,4.06,4.26,"North",144.006592,-10.805487,-5063.2820385285,3677.79976283005,0,"2020"
"205","10-406",0,8.02,4.06,4.26,"North",144.014496,-10.844872,-5063.12379864851,3676.61795277899,0,"2020"
"206","10-412",1,7.74,4.13,4.6,"North",144.014099,-10.887403,-5062.37693047557,3676.12918339222,0,"2020"
"207","10-414",0,7.91,4.44,4.26,"North",144.018097,-10.926696,-5061.96444783656,3675.29020784527,0,"2020"
"208","10-416b",0,7.83,4.71,4.3,"North",144.03215,-10.965931,-5062.19524657967,3673.56197759799,0,"2020"
"211","10-419a",0,8.23,4.57,4.75,"North",144.012909,-11.007766,-5060.24394670029,3674.74080273459,0,"2020"
"212","10-419b",1,8.23,4.57,4.75,"North",144.013092,-11.017948,-5060.08067973507,3674.59755385663,0,"2020"
"213","10-420",0,6.48,4.02,4.63,"North",143.995041,-11.017783,-5058.92558551353,3676.19360803168,0,"2020"
"220","10-441b",2,8.84,3.04,8.05,"North",142.48201,-10.250726,-4972.57860030287,3818.07495852707,0,"2020"
"225","10-450a",2,8.37,3.42,7.83,"North",142.513168,-10.18878,-4975.62390793498,3816.11400890834,0,"2020"
"229","10-458b",3,9.02,0.96,8.07,"North",142.296494,-10.520213,-4955.91625053278,3830.85179606595,1,"2020"
"230","10-458c",4,9.04,0.95,8.21,"North",142.315628,-10.532245,-4957.00186473834,3829.04713442121,1,"2020"
"245","10-499",0,5.56,1.98,2.02,"North",143.914413,-10.607853,-5060.65793186435,3688.3456282324,0,"2020"
"247","10-503",0,5.56,1.98,2.02,"North",143.923828,-10.613521,-5061.17014583677,3687.44565914995,0,"2020"
"250","10-512",0,5.56,1.98,2.02,"North",143.943039,-10.631873,-5062.10213236381,3685.52705342381,0,"2020"
