"","ReefID","score","DHW_25km_max","region","Long_unique","Lat_unique","X","Y","bin.score","year"
"170","10-325",1,7.1,"North",142.740005,-10.68,-4982.81975947501,3790.39622454724,0,"1998"
"173","10-327",1,7.1,"North",142.729996,-10.7,-4981.82925772731,3791.0168036113,0,"1998"
"176","10-336",1,6.58,"North",142.759995,-10.82,-4981.83025643413,3786.90035876397,0,"1998"
"178","10-338",1,6.58,"North",142.979996,-10.8,-4996.66723712595,3767.99467988677,0,"1998"
"179","10-340",1,6.84,"North",142.699997,-10.89,-4976.69598178123,3791.22678099185,0,"1998"
"368","11-001",1,6.51,"North",142.990005,-11.01,-4993.79784036737,3764.46258891215,0,"1998"
"369","11-008",2,4.7,"North",142.820007,-11.25,-4978.50221153677,3776.14956081773,0,"1998"
"370","11-009",1,4.7,"North",142.869995,-11.26,-4981.62180998624,3771.67360186001,0,"1998"
"371","11-010",1,4.7,"North",142.929993,-11.25,-4985.74179839497,3766.58578764347,0,"1998"
"372","11-013",2,4.7,"North",142.970001,-11.39,-4985.93127167736,3761.26323864144,0,"1998"
"373","11-025",1,6.84,"North",143.089996,-11.07,-4999.33833154809,3754.97455370121,0,"1998"
"374","11-026",1,6.84,"North",143.020004,-11.11,-4994.06411809338,3760.56426005796,0,"1998"
"375","11-034",1,6.84,"North",143.100006,-11.17,-4998.27930942754,3752.81344068132,0,"1998"
"376","11-035",2,6.84,"North",143.029999,-11.18,-4993.51801844106,3758.7881959638,0,"1998"
"378","11-038",1,6.51,"North",143,-11.24,-4990.51346083248,3760.62163050282,0,"1998"
"385","11-052",1,4.28,"North",143.070007,-11.39,-4992.48871006036,3752.55489982033,0,"1998"
"388","11-055",1,4.28,"North",143.039993,-11.46,-4989.29027266235,3754.24263284637,0,"1998"
"393","11-061",1,4.28,"North",143.039993,-11.49,-4988.75999178231,3753.84361755994,0,"1998"
"407","11-091",0,6.49,"North",143.960007,-11.4,-5049.99647316406,3674.42557525438,0,"1998"
"438","11-132",2,3.48,"North",142.869995,-11.51,-4977.24681441901,3768.36121566961,0,"1998"
"440","11-136",1,3.48,"North",142.940002,-11.6,-4980.24780284359,3761.06887036959,0,"1998"
"442","11-138",1,3.48,"North",142.990005,-11.73,-4981.19438029307,3754.96175298383,0,"1998"
"443","11-139",2,3.57,"North",142.970001,-11.76,-4979.34099993824,3756.29170063293,0,"1998"
"446","11-142",1,3.57,"North",142.940002,-11.77,-4977.19266624796,3758.76163996672,0,"1998"
"449","11-146",1,3.57,"North",142.940002,-11.8,-4976.64897530797,3758.35104612673,0,"1998"
"451","11-150",2,3.57,"North",142.940002,-11.84,-4975.92193171695,3757.80198489005,0,"1998"
"455","11-156",1,3.52,"North",143.020004,-11.55,-4986.38568513109,3754.78234779404,0,"1998"
"458","11-161",1,3.52,"North",143.009995,-11.6,-4984.83863858405,3754.98215344243,0,"1998"
"461","11-167",1,4.59,"North",143.080002,-11.77,-4986.36218624628,3746.58885529372,0,"1998"
"463","11-173",0,5.3,"North",143.360001,-11.82,-5003.69988782036,3721.49810991369,0,"1998"
"465","11-175",0,5.3,"North",143.300003,-11.87,-4998.88512879214,3726.05373436392,0,"1998"
"466","11-176",3,4.59,"North",143.110001,-11.9,-4985.95200882929,3742.1979222648,1,"1998"
"474","11-185",1,5.3,"North",143.270004,-11.95,-4995.46220413927,3727.57263911925,0,"1998"
"475","11-186",1,5.3,"North",143.270004,-11.96,-4995.27760088692,3727.43488969698,0,"1998"
"481","11-191",1,5.3,"North",143.259995,-11.99,-4994.07172864604,3727.89343147333,0,"1998"
"514","11-240",0,6.28,"North",143.990005,-11.95,-5041.90867385258,3664.50506036279,0,"1998"
"517","11-243",0,6.84,"North",144.039993,-11.59,-5051.71323248495,3664.89976400938,0,"1998"
"525","12-001",1,5.78,"North",143.300003,-12.03,-4995.93154197506,3723.85219884029,0,"1998"
"529","12-004",1,5.78,"North",143.259995,-12.1,-4992.02629778637,3726.36659151575,0,"1998"
"531","12-006",0,5.78,"North",143.270004,-12.14,-4991.92872762557,3724.93598812776,0,"1998"
"532","12-007",1,5.78,"North",143.369995,-12.14,-4998.42177718431,3716.21854506869,0,"1998"
"534","12-010",1,5.78,"North",143.279999,-12.23,-4990.88531590243,3722.80216780477,0,"1998"
"557","12-037",0,6.23,"North",143.970001,-12.08,-5038.19544204509,3664.49514741798,0,"1998"
"575","12-056",0,6.26,"North",143.919998,-12.27,-5031.39441729689,3666.26667175731,0,"1998"
"590","12-084",1,5.06,"North",143.399994,-12.75,-4988.63187697376,3704.88580496932,0,"1998"
"602","12-105",2,5.39,"North",143.559998,-12.64,-5001.12109876517,3692.53675689356,0,"1998"
"607","12-112",2,5.39,"North",143.610001,-12.71,-5002.96688535488,3687.15753291782,0,"1998"
"610","12-115",2,4.89,"North",143.610001,-12.77,-5001.78250053964,3686.28464818893,0,"1998"
