"","ReefID","bin.score","DHW","X","Y","year"
"170","10-325",0,7.1,-4982.81975947501,3790.39622454724,"1998"
"173","10-327",0,7.1,-4981.82925772731,3791.0168036113,"1998"
"176","10-336",0,6.58,-4981.83025643413,3786.90035876397,"1998"
"178","10-338",0,6.58,-4996.66723712595,3767.99467988677,"1998"
"179","10-340",0,6.84,-4976.69598178123,3791.22678099185,"1998"
"368","11-001",0,6.51,-4993.79784036737,3764.46258891215,"1998"
"369","11-008",0,4.7,-4978.50221153677,3776.14956081773,"1998"
"370","11-009",0,4.7,-4981.62180998624,3771.67360186001,"1998"
"371","11-010",0,4.7,-4985.74179839497,3766.58578764347,"1998"
"372","11-013",0,4.7,-4985.93127167736,3761.26323864144,"1998"
"373","11-025",0,6.84,-4999.33833154809,3754.97455370121,"1998"
"374","11-026",0,6.84,-4994.06411809338,3760.56426005796,"1998"
"375","11-034",0,6.84,-4998.27930942754,3752.81344068132,"1998"
"376","11-035",0,6.84,-4993.51801844106,3758.7881959638,"1998"
"378","11-038",0,6.51,-4990.51346083248,3760.62163050282,"1998"
"385","11-052",0,4.28,-4992.48871006036,3752.55489982033,"1998"
"388","11-055",0,4.28,-4989.29027266235,3754.24263284637,"1998"
"393","11-061",0,4.28,-4988.75999178231,3753.84361755994,"1998"
"407","11-091",0,6.49,-5049.99647316406,3674.42557525438,"1998"
"438","11-132",0,3.48,-4977.24681441901,3768.36121566961,"1998"
"440","11-136",0,3.48,-4980.24780284359,3761.06887036959,"1998"
"442","11-138",0,3.48,-4981.19438029307,3754.96175298383,"1998"
"443","11-139",0,3.57,-4979.34099993824,3756.29170063293,"1998"
"446","11-142",0,3.57,-4977.19266624796,3758.76163996672,"1998"
"449","11-146",0,3.57,-4976.64897530797,3758.35104612673,"1998"
"451","11-150",0,3.57,-4975.92193171695,3757.80198489005,"1998"
"455","11-156",0,3.52,-4986.38568513109,3754.78234779404,"1998"
"458","11-161",0,3.52,-4984.83863858405,3754.98215344243,"1998"
"461","11-167",0,4.59,-4986.36218624628,3746.58885529372,"1998"
"463","11-173",0,5.3,-5003.69988782036,3721.49810991369,"1998"
"465","11-175",0,5.3,-4998.88512879214,3726.05373436392,"1998"
"466","11-176",1,4.59,-4985.95200882929,3742.1979222648,"1998"
"474","11-185",0,5.3,-4995.46220413927,3727.57263911925,"1998"
"475","11-186",0,5.3,-4995.27760088692,3727.43488969698,"1998"
"481","11-191",0,5.3,-4994.07172864604,3727.89343147333,"1998"
"514","11-240",0,6.28,-5041.90867385258,3664.50506036279,"1998"
"517","11-243",0,6.84,-5051.71323248495,3664.89976400938,"1998"
"525","12-001",0,5.78,-4995.93154197506,3723.85219884029,"1998"
"529","12-004",0,5.78,-4992.02629778637,3726.36659151575,"1998"
"531","12-006",0,5.78,-4991.92872762557,3724.93598812776,"1998"
"532","12-007",0,5.78,-4998.42177718431,3716.21854506869,"1998"
"534","12-010",0,5.78,-4990.88531590243,3722.80216780477,"1998"
"557","12-037",0,6.23,-5038.19544204509,3664.49514741798,"1998"
"575","12-056",0,6.26,-5031.39441729689,3666.26667175731,"1998"
"590","12-084",0,5.06,-4988.63187697376,3704.88580496932,"1998"
"602","12-105",0,5.39,-5001.12109876517,3692.53675689356,"1998"
"607","12-112",0,5.39,-5002.96688535488,3687.15753291782,"1998"
"610","12-115",0,4.89,-5001.78250053964,3686.28464818893,"1998"
