"","ReefID","bin.score","DHW","X","Y","year"
"612","12-118",0,4.01,-5015.34615546331,3665.30485343861,"1998"
"613","12-119",0,4.89,-5000.98986332251,3685.70047916424,"1998"
"628","13-005",0,3.78,-5013.04280398838,3659.59646939476,"1998"
"636","13-016",0,3.78,-5014.78484339372,3655.50298152876,"1998"
"643","13-028",0,3.78,-5016.11170287364,3651.11117042256,"1998"
"649","13-040",0,3.94,-5012.8052712385,3650.0424217094,"1998"
"670","13-077",0,3.87,-5000.38656012453,3654.37211306515,"1998"
"671","13-078",0,3.87,-5003.79375193651,3646.15467274939,"1998"
"676","13-088",0,3.87,-5001.03107913261,3645.47724207356,"1998"
"683","13-108",0,3.34,-4999.92239596011,3639.32735004241,"1998"
"702","14-003",0,2.8,-4999.65754439449,3635.1314847151,"1998"
"707","14-016",0,2.95,-5008.54640525746,3624.250768768,"1998"
"708","14-017",0,2.43,-5014.78887532393,3611.45975554527,"1998"
"709","14-018",0,2.09,-5019.16723287705,3603.98059846369,"1998"
"738","14-053",0,3.33,-5043.8790171666,3559.38472217061,"1998"
"739","14-054",0,3.33,-5047.99953120217,3553.06085711577,"1998"
"743","14-063",0,3.33,-5051.31498534088,3543.54259935059,"1998"
"760","14-082",0,3.65,-5060.57519154063,3530.30536431414,"1998"
"761","14-083",0,2.88,-5074.09331378671,3510.8480852248,"1998"
"763","14-085",0,2.88,-5078.91712149357,3502.40157643041,"1998"
"764","14-086",0,2.88,-5083.19183255501,3496.19460600076,"1998"
"767","14-089",0,2.36,-5085.70423063246,3490.08351485802,"1998"
"786","14-113",0,2.81,-5079.05167290385,3493.34702434003,"1998"
"787","14-114",0,2.81,-5079.19867975141,3492.14126564019,"1998"
"788","14-115",0,2.72,-5064.29486249813,3513.226354481,"1998"
"789","14-116a",0,2.81,-5076.52727460166,3495.52752848125,"1998"
"790","14-116b",0,2.81,-5077.7473784966,3493.75491875371,"1998"
"791","14-116c",0,2.81,-5077.28339316207,3493.43567265423,"1998"
"793","14-118",0,2.81,-5071.09351642439,3500.92562186923,"1998"
"795","14-120a",0,2.72,-5058.99200093779,3517.40040824235,"1998"
"796","14-120b",0,2.72,-5059.37327937736,3516.35642464244,"1998"
"797","14-120c",0,2.72,-5058.377469055,3518.2841099054,"1998"
"800","14-120f",0,2.72,-5059.22405848388,3517.56175249971,"1998"
"811","14-131",0,2.87,-5061.0989868239,3508.39253957369,"1998"
"814","14-133",0,2.51,-5074.10190988671,3486.03051832294,"1998"
"816","14-135",0,2.87,-5071.80391398458,3488.36205102526,"1998"
"817","14-137",0,2.36,-5087.59774984132,3484.85581627135,"1998"
"818","14-138",0,2.36,-5088.26697074381,3481.40152856799,"1998"
"819","14-139",0,2.36,-5088.9300931385,3477.9448464179,"1998"
"821","14-143",0,2.36,-5078.32433073182,3488.93142338726,"1998"
"824","14-147a",0,2.51,-5077.06306406062,3486.75952274253,"1998"
"825","14-147b",0,2.51,-5077.29743926074,3486.92048390268,"1998"
"827","14-150b",0,2.51,-5078.08550513278,3482.24773342662,"1998"
"828","14-151",0,2.51,-5085.02896401909,3470.07195915038,"1998"
"829","14-152",0,2.51,-5084.18617172338,3470.79874053706,"1998"
"832","14-154",0,2.51,-5083.97488349355,3468.05291853908,"1998"
"833","15-002",0,3.48,-5067.47411843448,3490.59710736111,"1998"
"834","15-003",1,3.48,-5061.91408424413,3494.58842670412,"1998"
"835","15-005",0,3.48,-5064.11353630923,3490.88985543344,"1998"
"836","15-006",1,3.48,-5057.29784966388,3499.22702912481,"1998"
"837","15-008",1,3.48,-5053.76442498213,3503.30816518906,"1998"
"839","15-012",0,4.4,-5057.492742951,3485.02454641787,"1998"
"840","15-013",0,4.4,-5055.42231220156,3484.89865759571,"1998"
"843","15-018",0,3.31,-5072.2372858227,3482.14333451283,"1998"
"844","15-019",0,3.31,-5074.66752990468,3478.60068802288,"1998"
"845","15-021",0,3.31,-5083.04029398602,3464.81551886333,"1998"
"848","15-024",0,3.31,-5073.12441017293,3476.2422327105,"1998"
"850","15-027",0,3.31,-5074.10873516974,3471.71443800203,"1998"
"851","15-028",0,3.31,-5070.23004820178,3476.86093025732,"1998"
"854","15-031",0,3.59,-5070.47979369298,3474.43006987876,"1998"
"855","15-032",0,3.59,-5080.04020772245,3458.87626215329,"1998"
"858","15-035",0,3.59,-5072.42136314774,3467.96054784866,"1998"
"859","15-036",0,3.59,-5072.78362633554,3466.90981155253,"1998"
"861","15-039",0,3.59,-5067.81648808545,3472.60510075067,"1998"
"863","15-044",0,3.59,-5067.92881616482,3468.78409480684,"1998"
"865","15-047",0,3.59,-5071.42875394601,3462.08969093529,"1998"
"866","15-048",0,3.59,-5068.8805312041,3464.24230593759,"1998"
"875","15-063",1,5.14,-5047.69407522278,3483.47143444394,"1998"
"876","15-064",1,5.14,-5049.98769540484,3478.55204186718,"1998"
"877","15-065",1,5.14,-5051.20193485106,3476.78861092756,"1998"
"878","15-066",0,7.14,-5042.56091314912,3478.63054598825,"1998"
"879","15-069",0,7.14,-5043.47702668905,3474.06733787951,"1998"
"880","15-070",0,4.36,-5066.82085550792,3466.72805746411,"1998"
"885","15-077",0,4.36,-5067.16049552858,3463.06677609068,"1998"
"889","15-082",0,4.36,-5064.71908011476,3463.99110596765,"1998"
"892","15-086",1,5.14,-5054.86856341888,3474.11491187169,"1998"
"895","15-089",0,6.54,-5057.47576994163,3465.51936063832,"1998"
"899","15-093",0,6.54,-5054.36929516616,3464.68658371732,"1998"
"901","15-095",0,6.54,-5059.05082430678,3456.2278251502,"1998"
"910","16-002",1,4.36,-5043.77755474334,3470.38190903493,"1998"
"912","16-005",1,4.49,-5040.14496248498,3465.29035740806,"1998"
"913","16-006",1,4.49,-5039.46533949058,3463.52856936469,"1998"
"914","16-014",0,4.36,-5059.03203087968,3449.74307427923,"1998"
"919","16-019",0,4.32,-5064.80798928208,3436.87394375279,"1998"
"920","16-020",0,4.36,-5054.07856671612,3451.53801483658,"1998"
"923","16-023",0,4.36,-5054.35102615539,3447.8448909122,"1998"
"928","16-028",1,4.49,-5040.76677563227,3456.6567777237,"1998"
"929","16-029",0,3.32,-5052.62359439982,3437.62771736309,"1998"
"932","16-038",1,4.92,-5035.92261089724,3455.92069246376,"1998"
"933","16-039",1,4.92,-5032.98740854656,3459.07641077573,"1998"
"938","16-046",0,4.24,-5056.24268526274,3418.18780053718,"1998"
"939","16-047",1,4.92,-5039.09549114441,3440.01688635677,"1998"
"940","16-049",1,4.61,-5056.57207399525,3411.98449843443,"1998"
"944","16-055",1,4.61,-5053.16015902542,3408.39956423148,"1998"
"948","16-063",0,2.98,-5074.13187730215,3390.42652639864,"1998"
"949","16-064",0,2.98,-5062.00136385939,3407.93923538139,"1998"
"953","16-071",0,3.92,-5066.96184771837,3390.75388512166,"1998"
"955","16-073",0,3.92,-5067.98395804743,3386.31861808499,"1998"
"956","16-074",0,3.92,-5065.08080041431,3389.49510942016,"1998"
"957","16-080",1,4.92,-5035.7430185996,3454.50349168672,"1998"
"959","17-001a",0,4.12,-5063.51269632679,3387.16716393405,"1998"
"961","17-004",1,4.12,-5059.7923717898,3389.79498262079,"1998"
"965","17-009",1,4.12,-5047.542540907,3403.32945802809,"1998"
"966","17-010",0,3.51,-5063.0216132428,3377.89341435101,"1998"
"967","17-011",1,3.51,-5067.45952071956,3370.63858123623,"1998"
"968","17-012a",1,4.12,-5050.06188719187,3396.05989347045,"1998"
"969","17-012b",1,4.12,-5049.78880219115,3395.87624957871,"1998"
"970","17-013",1,4.12,-5050.10776376043,3394.81165427661,"1998"
"974","17-017",1,4.01,-5064.12637127344,3369.69580889354,"1998"
"975","17-018",1,4.01,-5063.71528910188,3364.32515878019,"1998"
"979","17-024",0,4.01,-5060.62971072685,3363.54774988406,"1998"
"983","17-034",1,5.11,-5058.9285359975,3363.68944887843,"1998"
"984","17-035",0,3.74,-5067.13241099047,3351.31821382509,"1998"
"985","17-037",0,5.11,-5060.79585686279,3356.02291889378,"1998"
"986","17-042",0,5.11,-5060.56322608472,3353.32544560653,"1998"
"987","17-043a",1,5.58,-5042.96449237306,3378.52118776449,"1998"
"988","17-043b",1,5.58,-5042.37504728994,3379.40085961652,"1998"
"989","17-043c",0,5.58,-5042.65549516064,3379.5888158408,"1998"
"990","17-044",1,5.11,-5054.18768910753,3359.26605994408,"1998"
"991","17-046",0,6.09,-5039.22789570939,3379.84186411292,"1998"
"992","17-047",0,5.57,-5055.70537995529,3353.91714738087,"1998"
"993","17-048",1,6.09,-5036.89440641846,3382.10169258624,"1998"
"994","17-051",0,5.57,-5056.36188406964,3348.00155415195,"1998"
"995","17-053",1,6.09,-5033.2818811515,3375.85383472761,"1998"
"996","17-054",1,6.09,-5032.40810278088,3376.54072918184,"1998"
"997","17-055",0,6.09,-5031.53411510289,3377.22721169165,"1998"
"999","17-059a",1,3.74,-5063.52888107258,3346.39621967267,"1998"
"1002","17-060",0,5.11,-5060.062981284,3349.18262605271,"1998"
"1005","17-063a",0,4.6,-5059.81707101564,3346.47996802658,"1998"
"1006","17-064",0,4.6,-5060.43347888016,3343.08043232219,"1998"
"1008","17-066",1,4.6,-5061.05774337754,3338.42073800073,"1998"
"1010","17-068",0,3.23,-5071.5423066342,3318.72391243875,"1998"
"1011","17-069",0,3.82,-5068.36883311863,3320.43860864205,"1998"
"1012","18-001",0,6.3,-5031.85615918164,3374.89759402962,"1998"
"1013","18-003",0,6.3,-5032.7484841564,3372.94913489879,"1998"
"1014","18-004",1,6.3,-5033.90804822819,3372.45384612933,"1998"
"1015","18-005",1,6.3,-5033.94178745816,3369.9306855616,"1998"
"1016","18-006",1,6.3,-5034.24426074726,3368.85964386464,"1998"
"1017","18-007",1,5.91,-5047.44878776981,3347.17192568184,"1998"
"1018","18-008",1,5.91,-5036.06861346134,3359.91119594201,"1998"
"1019","18-010",0,6.3,-5027.26819448113,3371.82041723056,"1998"
"1020","18-013",0,5.91,-5035.22763062645,3355.53971342904,"1998"
"1022","18-017",0,3.82,-5068.3757198051,3317.91656132238,"1998"
"1023","18-018",1,5.05,-5054.72887319321,3338.04532555109,"1998"
"1025","18-020",1,3.82,-5067.22372104318,3315.8979095382,"1998"
"1026","18-022",0,3.82,-5064.32888503588,3319.05645467507,"1998"
"1027","18-023",0,3.82,-5075.88004356909,3300.0947693722,"1998"
"1028","18-024",0,5.05,-5059.40052581656,3319.61462497585,"1998"
"1030","18-026",0,5.29,-5057.35626363823,3317.0096652324,"1998"
"1031","18-027",0,4.15,-5061.68182318539,3308.48763063027,"1998"
"1033","18-029",0,5.29,-5052.98324289135,3317.92641253618,"1998"
"1034","18-030",0,4.15,-5068.54789936684,3292.81070898235,"1998"
"1035","18-031",0,4.15,-5067.36752875638,3292.04387456274,"1998"
"1036","18-032",0,4.15,-5060.16589009863,3302.45799762912,"1998"
"1038","18-034",0,2.32,-5096.13008895231,3260.36464433339,"1998"
"1041","18-039",0,2.32,-5095.4125172516,3252.39090685325,"1998"
"1042","18-041",0,2.32,-5089.43302246161,3261.08881388787,"1998"
"1046","18-046",0,2.62,-5098.49320799453,3245.59643345813,"1998"
"1047","18-048",1,6.41,-5035.79672136734,3334.3846101382,"1998"
"1048","18-049a",1,6.41,-5034.61504977248,3333.60218229249,"1998"
"1049","18-049b",1,6.41,-5033.43098351085,3332.8181688506,"1998"
"1050","18-049c",1,6.41,-5032.83798593191,3332.42552353339,"1998"
"1051","18-049d",1,6.41,-5034.01230258192,3331.94005796045,"1998"
"1052","18-049e",1,6.41,-5035.49218032563,3332.91956767135,"1998"
"1053","18-051",1,6.61,-5024.88114879104,3334.73283508768,"1998"
"1054","18-052a",1,5.99,-5036.60819456713,3326.07877935227,"1998"
"1055","18-052b",0,5.99,-5035.73082501579,3326.76108752593,"1998"
"1057","18-054",1,5.99,-5042.05600136555,3313.27134982915,"1998"
"1058","18-054a",0,5.99,-5036.28175751809,3323.33862386057,"1998"
"1061","18-054e",1,5.99,-5039.16253344391,3317.67037543518,"1998"
"1062","18-054f",1,5.99,-5038.03724949616,3321.97273750886,"1998"
"1063","18-054g",1,5.99,-5037.47196466435,3324.12401704744,"1998"
"1064","18-058",1,6.52,-5033.05026699396,3324.9902271623,"1998"
"1065","18-059",1,6.52,-5031.01014141055,3327.42753757094,"1998"
"1066","18-061",1,6.52,-5039.70372832541,3314.24552371489,"1998"
"1067","18-062",1,6.52,-5031.59052014624,3326.5498490682,"1998"
"1068","18-064",1,6.52,-5029.51535689286,3326.43891162364,"1998"
"1069","18-065",1,6.52,-5030.3760667824,3324.48611408863,"1998"
"1070","18-066",1,6.52,-5031.68129024408,3314.00314037718,"1998"
"1071","18-067",1,6.52,-5030.80028810668,3314.68321762299,"1998"
"1077","18-074",0,3.85,-5092.92420416701,3245.79970871532,"1998"
"1078","18-075",0,4.2,-5066.06253658906,3283.65722887885,"1998"
"1080","18-078",0,4.2,-5066.83472949361,3277.88163606625,"1998"
"1081","18-079",0,4.53,-5075.03655508037,3261.86880467072,"1998"
"1082","18-080",0,2.88,-5097.54402624147,3242.49369146484,"1998"
"1085","18-084a",0,2.88,-5098.21370841624,3234.17664764537,"1998"
"1086","18-084b",0,2.88,-5096.48445977621,3235.5757700365,"1998"
"1087","18-084c",0,2.88,-5096.4491686024,3234.30424270627,"1998"
"1089","18-086",0,2.88,-5102.64924702772,3224.51371905025,"1998"
"1090","18-088",0,2.88,-5090.95357673217,3238.30157642909,"1998"
"1091","18-090",0,2.73,-5107.83958928863,3211.60087035126,"1998"
"1092","18-091",0,4.01,-5099.33157333206,3222.41718373515,"1998"
"1093","18-094",0,3.31,-5108.00659140089,3207.97533079141,"1998"
"1094","18-095",0,4.01,-5088.27620642893,3237.84531366658,"1998"
"1096","18-099",0,3.31,-5106.69559260044,3204.66637770451,"1998"
"1097","18-100",0,4.01,-5096.86083415649,3219.61192897537,"1998"
"1100","18-101",0,3.31,-5109.38747554238,3197.66074937767,"1998"
"1104","18-106",0,4.01,-5092.68893803392,3219.46467622321,"1998"
"1106","18-118",0,2.58,-5114.54259316005,3185.99968435416,"1998"
"1109","19-002",1,6.81,-5029.86723789027,3312.8083558011,"1998"
"1112","19-005",1,6.81,-5023.69416600799,3317.55060430128,"1998"
"1113","19-007",1,6.51,-5034.63482812231,3299.59558364916,"1998"
"1115","19-009b",0,6.51,-5038.28566463647,3290.68510201909,"1998"
"1116","19-009c",1,6.51,-5039.73908967734,3289.1266855966,"1998"
"1121","19-010",1,6.51,-5037.09900326285,3291.16561704913,"1998"
"1122","19-011",1,6.51,-5035.06922878712,3293.60227786206,"1998"
"1123","19-012",1,6.51,-5034.1885915773,3294.28032903108,"1998"
"1124","19-013",1,5.68,-5050.00581897049,3271.99886936545,"1998"
"1125","19-017",1,6.47,-5048.11942076396,3269.52471702037,"1998"
"1126","19-019",0,3.99,-5103.42339950254,3197.64990806908,"1998"
"1127","19-024",0,2.88,-5114.06007003761,3181.98366220026,"1998"
"1128","19-025",0,2.48,-5125.6886042714,3163.21778550019,"1998"
"1131","19-028",0,2.88,-5116.40179019528,3174.77745665679,"1998"
"1132","19-029",0,2.88,-5110.85346841593,3183.70161956024,"1998"
"1137","19-038b",0,2.48,-5124.04085386207,3154.79645947516,"1998"
"1139","19-038f",0,2.48,-5130.54484866844,3147.6981268846,"1998"
"1140","19-043",0,2.88,-5111.51133540534,3172.97802227354,"1998"
"1141","19-044",0,3.51,-5119.27070041132,3155.5571306542,"1998"
"1142","19-045",0,3.8,-5103.7199689515,3179.2579519931,"1998"
"1143","19-046",0,3.51,-5122.41852116802,3147.63775278524,"1998"
"1144","19-047",0,3.51,-5115.90042844375,3154.71318973523,"1998"
"1145","19-048",0,3.8,-5101.46036266933,3176.61537804076,"1998"
"1151","19-054",0,1.64,-5131.89453693725,3139.90383985908,"1998"
"1155","19-063a",0,3.04,-5135.25709577975,3130.88423959512,"1998"
"1156","19-063b",0,3.04,-5130.88044285989,3138.05153599797,"1998"
"1158","19-066",0,3.04,-5132.74675074369,3129.35372231765,"1998"
"1159","19-067",0,3.04,-5132.6632718635,3128.07488678432,"1998"
"1160","19-071",0,3.04,-5131.54751446319,3124.93824414585,"1998"
"1161","19-072a",0,2.56,-5139.02911944661,3114.75911052513,"1998"
"1163","19-072c",0,4.26,-5133.68860818464,3116.4241630857,"1998"
"1164","19-072d",0,3.69,-5135.86270548475,3112.8399509901,"1998"
"1166","19-074a",0,2.56,-5143.91521269511,3106.68326221444,"1998"
"1168","19-075",0,2.56,-5138.66986318655,3109.63711423395,"1998"
"1169","19-076",0,2.56,-5142.68843025298,3102.26873240491,"1998"
"1173","19-096",0,2.31,-5157.88744268498,3078.37976252939,"1998"
"1177","19-100",1,5.95,-5072.45047234634,3200.47790062467,"1998"
"1178","19-101",1,5.56,-5072.37397191944,3199.19265323691,"1998"
"1179","19-102",1,5.57,-5075.47330477326,3185.07307823708,"1998"
"1180","19-103",0,4.21,-5105.59743468507,3145.89989962618,"1998"
"1181","19-105",0,5.01,-5092.94244338673,3149.14990557248,"1998"
"1182","19-106",1,5.01,-5097.55924241159,3140.94703199612,"1998"
"1183","19-107",0,3.69,-5145.7420756221,3094.31946321423,"1998"
"1184","19-108",0,3.69,-5140.33412214291,3103.29495246379,"1998"
"1185","19-109a",0,3.69,-5143.26239544797,3097.71874258268,"1998"
"1186","19-109b",0,3.69,-5142.08382078522,3098.23314922239,"1998"
"1187","19-110",1,5.62,-5107.84333586531,3122.73780909932,"1998"
"1200","19-128",0,3.59,-5151.92076181451,3072.37974599725,"1998"
"1201","19-129",0,3.73,-5156.40816252886,3060.43424609104,"1998"
"1203","19-131",0,3.73,-5159.2866549534,3054.84157488721,"1998"
"1205","19-132",0,3.73,-5160.88540569484,3052.13985015852,"1998"
"1206","19-133",0,3.59,-5151.49057667498,3070.90507563976,"1998"
"1207","19-134",0,3.73,-5165.99771054589,3044.21920496466,"1998"
"1208","19-135",0,3.62,-5151.80692805629,3067.43886844887,"1998"
"1209","19-136a",0,3.62,-5148.90731432031,3069.36514203053,"1998"
"1210","19-136b",0,3.62,-5143.96966997575,3076.16471675729,"1998"
"1211","19-137",0,3.62,-5141.60726087505,3080.84518788512,"1998"
"1235","19-197",0,3.55,-5166.54749266803,3033.61990535781,"1998"
"1237","19-205a",0,3.41,-5169.68625820717,3018.50034922569,"1998"
"1253","19-980",1,5.62,-5107.3123977843,3116.29329030367,"1998"
"1254","20-001",1,5.74,-5091.64916559244,3148.35022529157,"1998"
"1255","20-002",1,5.74,-5091.325466443,3148.15007043861,"1998"
"1257","20-004",1,5.74,-5091.22660423953,3146.86135851221,"1998"
"1260","20-010",1,5.74,-5101.42593185959,3127.38207181129,"1998"
"1262","20-012",1,5.62,-5110.46081892828,3116.99119175089,"1998"
"1264","20-014",1,4.32,-5123.46114083026,3091.88921955397,"1998"
"1265","20-015",1,5.62,-5104.47806249308,3123.12931482489,"1998"
"1270","20-021",0,5.62,-5104.80972160849,3119.65823997834,"1998"
"1271","20-022",1,5.62,-5109.15990256502,3112.52870157291,"1998"
"1273","20-027",1,5.62,-5106.33311856372,3115.69577031141,"1998"
"1274","20-028",0,4.32,-5127.23520231099,3085.62670907787,"1998"
"1278","20-028g",1,4.32,-5125.61811457082,3088.31215248317,"1998"
"1279","20-028h",1,4.32,-5126.69604206615,3086.52242821189,"1998"
"1280","20-030",1,5.62,-5105.67943354932,3115.29691587179,"1998"
"1281","20-033",0,4.32,-5114.22506339913,3096.06517871173,"1998"
"1282","20-034",0,5.9,-5114.31845532107,3093.68224233583,"1998"
"1283","20-035",0,5.9,-5112.90871674118,3095.26828475414,"1998"
"1285","20-042",0,5.9,-5114.52858653293,3092.59092637068,"1998"
"1287","20-053",0,5.9,-5117.39829585542,3083.35950765818,"1998"
"1289","20-058",0,5.9,-5116.73649938746,3082.96075885779,"1998"
"1290","20-059",0,5.9,-5117.35657467569,3079.68164198463,"1998"
"1291","20-059a",0,5.9,-5118.8879948967,3079.38713716273,"1998"
"1292","20-059b",0,5.9,-5117.68812299411,3079.88117142034,"1998"
"1297","20-067a",0,3.95,-5127.72108249236,3077.39273860722,"1998"
"1298","20-067c",0,3.95,-5128.04975221333,3077.58998915896,"1998"
"1299","20-068",0,3.95,-5126.64634243473,3079.18282131309,"1998"
"1300","20-069",1,3.95,-5131.02523539067,3069.63895759305,"1998"
"1301","20-071",0,3.95,-5132.17706352853,3065.46563888315,"1998"
"1302","20-072",0,3.95,-5132.38233380205,3064.37180461644,"1998"
"1303","20-074",0,3.95,-5131.84688686896,3065.2684233171,"1998"
"1304","20-075",0,4.52,-5133.12066442782,3062.38392815237,"1998"
"1308","20-078e",0,4.52,-5127.84901145625,3068.95359352328,"1998"
"1309","20-078f",0,4.52,-5128.38429906127,3068.059015833,"1998"
"1310","20-078g",0,4.52,-5129.04550370499,3068.45458191194,"1998"
"1311","20-081",0,4.52,-5126.85625230851,3068.35943957156,"1998"
"1316","20-089",0,3.95,-5130.19749471031,3074.00846905383,"1998"
"1318","20-093",0,4.52,-5121.87104796879,3065.37585703263,"1998"
"1320","20-095b",0,4.52,-5118.52686066479,3069.44463186232,"1998"
"1321","20-095c",0,4.52,-5118.78795630039,3072.03153872252,"1998"
"1323","20-099",0,4.52,-5119.45360080473,3072.43102409452,"1998"
"1324","20-101",0,4.52,-5119.06223407115,3068.5516803733,"1998"
"1325","20-102a",0,4.52,-5121.80011185181,3067.76262506165,"1998"
"1326","20-102b",0,4.52,-5120.80050378955,3067.16389801527,"1998"
"1328","20-102d",0,5.31,-5117.52519394652,3068.84395893142,"1998"
"1335","20-112",0,3.44,-5177.27526417777,2996.33424200474,"1998"
"1342","20-128",0,3.31,-5181.26304475652,2990.1986031911,"1998"
"1343","20-129",0,3.31,-5182.58825964115,2982.52790689002,"1998"
"1347","20-134",0,3.9,-5179.96016915929,2978.60848385757,"1998"
"1348","20-135",0,3.9,-5180.17959632339,2975.12668548008,"1998"
"1349","20-136",0,3.9,-5176.72627921782,2980.35665618623,"1998"
"1350","20-137",0,3.9,-5178.28602865839,2977.64581060598,"1998"
"1351","20-138",0,3.9,-5183.47464506939,2968.60428011899,"1998"
"1353","20-142",0,3.9,-5183.86586919667,2964.0232664434,"1998"
"1354","20-143",0,3.9,-5182.18148446273,2963.06017139676,"1998"
"1355","20-146",0,3.48,-5184.08953471275,2958.1525884294,"1998"
"1369","20-234",0,5.31,-5119.73223377523,3062.88291253059,"1998"
"1370","20-237a",0,5.31,-5118.03549114365,3055.80579038206,"1998"
"1371","20-237b",0,5.31,-5116.29402499277,3057.18971470929,"1998"
"1373","20-239",0,5.31,-5114.49589035817,3060.96191730833,"1998"
"1374","20-241",1,5.31,-5114.91074074929,3064.8486635709,"1998"
"1375","20-246",0,5.31,-5113.16846288814,3066.23134301211,"1998"
"1376","20-247",0,5.31,-5114.43681795111,3063.35229327739,"1998"
"1377","20-248",0,5.31,-5117.83843046527,3056.90112787352,"1998"
"1379","20-254",0,5.31,-5119.15506127369,3051.62923753208,"1998"
"1380","20-255",0,5.31,-5119.688125533,3050.73483639616,"1998"
"1384","20-262b",0,4.8,-5132.6513167507,3025.77694194468,"1998"
"1385","20-263",0,5.16,-5128.99088896987,3029.65391906931,"1998"
"1387","20-266",1,5.16,-5121.38093025288,3043.27203929467,"1998"
"1388","20-269",0,5.16,-5126.53537756608,3033.03250571077,"1998"
"1389","20-270a",0,5.16,-5120.02440534357,3042.46595312703,"1998"
"1390","20-270b",0,5.16,-5118.81440368326,3042.95532493558,"1998"
"1391","20-277a",0,5.16,-5122.10838154023,3030.4133444527,"1998"
"1393","20-279a",0,5.16,-5124.75112381621,3025.94203999781,"1998"
"1394","20-279b",0,5.16,-5123.53873919174,3026.43337777762,"1998"
"1397","20-287",0,4.84,-5164.0844226405,2987.49760791045,"1998"
"1398","20-288",0,4.84,-5162.36555410028,2988.90928359992,"1998"
"1399","20-289",0,5.46,-5138.48392204138,3013.52507727913,"1998"
"1400","20-290",0,5.46,-5134.54925469037,3012.42143258696,"1998"
"1401","20-291",0,5.46,-5139.15233497911,2998.26658781531,"1998"
"1402","20-292",0,5.57,-5139.86853801372,2993.8774366793,"1998"
"1404","20-294",0,4.26,-5168.2762353136,2977.89477957143,"1998"
"1405","20-295",0,4.26,-5172.42922524375,2970.67542362851,"1998"
"1406","20-296",0,4.26,-5179.81679701951,2961.70809385918,"1998"
