"","ReefID","score","DHW_5km_max_16","DHW_5km_max","DHW_5km_ytd","region","Long_unique","Lat_unique","X","Y","bin.score","year"
"174","10-330",3,10.1,0.45,0.31,"North",142.591629,-10.779503,-4971.35102976613,3802.03588403287,1,"2017"
"191","10-381",2,6.58,2.9,1.74,"North",143.964493,-10.687881,-5062.55022128915,3682.95361485756,0,"2017"
"192","10-383",3,5.39,2.9,1.57,"North",143.948013,-10.672799,-5061.74196382992,3684.59251993428,1,"2017"
"193","10-384",2,6.66,3.27,1.9,"North",143.963776,-10.709744,-5062.13917769896,3682.75145959336,0,"2017"
"194","10-386",2,6.66,3.27,1.9,"North",143.979614,-10.723167,-5062.93251200839,3681.18880113832,0,"2017"
"196","10-388",3,4.28,3,1.74,"North",143.888382,-10.671557,-5057.9251182589,3689.87364141838,1,"2017"
"199","10-391",3,6.3,3.25,1.78,"North",143.982346,-10.755391,-5062.56798739359,3680.55476297524,1,"2017"
"200","10-396",2,10,4.16,2.2,"North",142.901855,-10.357019,-4998.73626453082,3780.26014394568,0,"2017"
"201","10-398",2,6.3,3.25,1.78,"North",143.975479,-10.778152,-5061.74444342619,3680.88342394911,0,"2017"
"202","10-399",3,6.3,3.25,1.78,"North",143.985291,-10.785673,-5062.24818201532,3679.92454781826,1,"2017"
"203","10-400",3,6.3,3.25,1.78,"North",143.989792,-10.794349,-5062.39115630042,3679.42067612287,1,"2017"
"204","10-402",3,8.02,4.06,2.25,"North",144.006592,-10.805487,-5063.2820385285,3677.79976283005,1,"2017"
"206","10-412",2,7.74,4.13,2.41,"North",144.014099,-10.887403,-5062.37693047557,3676.12918339222,0,"2017"
"207","10-414",2,7.91,4.44,2.57,"North",144.018097,-10.926696,-5061.96444783656,3675.29020784527,0,"2017"
"208","10-416b",2,7.83,4.71,2.72,"North",144.03215,-10.965931,-5062.19524657967,3673.56197759799,0,"2017"
"209","10-417",2,5.11,1.98,1.16,"North",143.933014,-10.426536,-5064.82980982463,3688.86908253542,0,"2017"
"210","10-418a",0,7.83,4.71,2.72,"North",144.035202,-10.996821,-5061.86134719473,3672.90806139918,0,"2017"
"211","10-419a",1,8.23,4.57,2.73,"North",144.012909,-11.007766,-5060.24394670029,3674.74080273459,0,"2017"
"212","10-419b",1,8.23,4.57,2.73,"North",144.013092,-11.017948,-5060.08067973507,3674.59755385663,0,"2017"
"213","10-420",0,6.48,4.02,2.32,"North",143.995041,-11.017783,-5058.92558551353,3676.19360803168,0,"2017"
"218","10-432",3,5.19,2.26,1.44,"North",143.909134,-10.469635,-5062.58962159679,3690.46776211518,1,"2017"
"226","10-456",3,5.33,2.24,1.41,"North",143.916504,-10.518339,-5062.26714894421,3689.2355950794,1,"2017"
"280","10-565",0,7.34,4.69,2.65,"North",143.300369,-10.386799,-5024.43029336021,3745.04458390504,0,"2017"
"282","10-567",1,6.58,3.59,1.93,"North",143.345627,-10.147627,-5031.18978494862,3743.90445772797,0,"2017"
"284","10-572",1,6.78,4.06,2.03,"North",143.385986,-10.324091,-5031.02695880605,3738.2799563897,0,"2017"
"286","10-576",0,10.7,4.77,2.65,"North",143.099838,-10.520869,-5009.12907487154,3760.98264064872,0,"2017"
"303","10-624",2,5.73,3.02,1.12,"North",143.495819,-10.260354,-5039.20163866621,3729.38215749878,0,"2017"
"347","10-730",1,4.89,1.99,1.17,"North",143.939911,-10.354967,-5066.43414103988,3689.10425684074,0,"2017"
"367","10-809",3,6.58,2.9,1.74,"North",143.95842,-10.681565,-5062.26510976459,3683.56680585868,1,"2017"
"368","11-001",2,12.06,3.41,2.33,"North",142.990005,-11.01,-4993.79784036737,3764.46258891215,0,"2017"
"373","11-025",1,12.45,3.68,2.28,"North",143.089996,-11.07,-4999.33833154809,3754.97455370121,0,"2017"
"374","11-026",2,12.35,3.55,2.43,"North",143.020004,-11.11,-4994.06411809338,3760.56426005796,0,"2017"
"376","11-035",2,12.48,3.57,2.27,"North",143.029999,-11.18,-4993.51801844106,3758.7881959638,0,"2017"
"378","11-038",2,12.3,3.12,1.81,"North",143,-11.24,-4990.51346083248,3760.62163050282,0,"2017"
"385","11-052",1,12.22,3.74,2.03,"North",143.070007,-11.39,-4992.48871006036,3752.55489982033,0,"2017"
"386","11-053",1,12.22,3.27,2.01,"North",143.038101,-11.384626,-4990.492542917,3755.40539992432,0,"2017"
"388","11-055",2,11.57,3.71,2.01,"North",143.039993,-11.46,-4989.29027266235,3754.24263284637,0,"2017"
"392","11-060",2,11.8,4.07,2.05,"North",143.07515,-11.482043,-4991.20327762568,3750.88762700973,0,"2017"
"393","11-061",3,11.57,3.71,2.01,"North",143.039993,-11.49,-4988.75999178231,3753.84361755994,1,"2017"
"394","11-062",2,11.57,3.71,2.01,"North",143.026306,-11.495616,-4987.76371652512,3754.96040769359,0,"2017"
"395","11-072",1,8.16,5.38,3.56,"North",143.995483,-11.282644,-5054.34659525731,3672.80659117553,0,"2017"
"396","11-073",1,8.95,5.7,4,"North",144.005783,-11.282431,-5055.01051913893,3671.90064074814,0,"2017"
"418","11-112",1,6.48,4.02,2.32,"North",143.99794,-11.030667,-5058.88995585958,3675.77660212121,0,"2017"
"419","11-113",1,8.23,4.57,2.73,"North",144.017319,-11.039342,-5059.98350831775,3673.95685584499,0,"2017"
"420","11-114",1,8.23,4.57,2.73,"North",144.022385,-11.049008,-5060.14171253999,3673.38848790355,0,"2017"
"421","11-115",1,8,4.42,2.75,"North",144.033554,-11.054873,-5060.75650674307,3672.32859075765,0,"2017"
"422","11-116",2,8,4.42,2.75,"North",144.04071,-11.069192,-5060.96784487413,3671.51710346167,0,"2017"
"423","11-117",2,8.42,4.64,2.97,"North",144.044006,-11.103425,-5060.58655482063,3670.79618590552,0,"2017"
"425","11-119",3,9.26,5.13,3.43,"North",144.058441,-11.145983,-5060.77197935008,3668.98518387364,1,"2017"
"426","11-120",2,9.15,5.21,3.5,"North",144.060028,-11.185172,-5060.19040961439,3668.34973150745,0,"2017"
"430","11-125",2,9.44,6.21,4.48,"North",144.065659,-11.261312,-5059.21667645962,3666.88535851904,0,"2017"
"431","11-126a",1,8.95,5.7,4,"North",144.012512,-11.263567,-5055.77350887775,3671.54788388821,0,"2017"
"432","11-126b",1,8.95,5.7,4,"North",144.018326,-11.269264,-5056.04589755125,3670.96212401151,0,"2017"
"435","11-129",1,8.95,5.7,4,"North",144.044113,-11.276286,-5057.57401645151,3668.59656721116,0,"2017"
"439","11-134",1,11.36,2.79,1.16,"North",142.898346,-11.590384,-4977.68346939659,3764.8183305254,0,"2017"
"440","11-136",1,11.48,3.13,1.33,"North",142.940002,-11.6,-4980.24780284359,3761.06887036959,0,"2017"
"442","11-138",1,11.16,4.08,1.97,"North",142.990005,-11.73,-4981.19438029307,3754.96175298383,0,"2017"
"443","11-139",2,11.37,4.56,2.44,"North",142.970001,-11.76,-4979.34099993824,3756.29170063293,0,"2017"
"445","11-141",2,11.37,4.72,2.59,"North",142.915649,-11.769652,-4975.60088932489,3760.88156602915,0,"2017"
"446","11-142",2,11.37,4.72,2.59,"North",142.940002,-11.77,-4977.19266624796,3758.76163996672,0,"2017"
"447","11-143",2,11.37,4.56,2.44,"North",142.955444,-11.77073,-4978.19230708418,3757.41010632045,0,"2017"
"455","11-156",3,11.29,4.15,2.01,"North",143.020004,-11.55,-4986.38568513109,3754.78234779404,1,"2017"
"458","11-161",2,11.46,4.12,1.99,"North",143.009995,-11.6,-4984.83863858405,3754.98215344243,0,"2017"
"469","11-181",2,10.88,4.8,2.65,"North",143.207535,-11.927081,-4991.81727579185,3733.33266366776,0,"2017"
"470","11-183",3,10.88,4.8,2.65,"North",143.242004,-11.942464,-4993.7789378186,3730.11723814082,1,"2017"
"478","11-189",3,10.48,4.71,2.71,"North",143.25473,-11.971351,-4994.07407206831,3728.60985341682,1,"2017"
"481","11-191",2,10.48,4.71,2.71,"North",143.259995,-11.99,-4994.07172864604,3727.89343147333,0,"2017"
"484","11-195",3,10.93,4.66,2.67,"North",143.24118,-11.99827,-4992.69417813885,3729.41883891965,1,"2017"
"485","11-197",2,8.67,6.62,4.7,"North",143.86937,-11.51365,-5042.15015430779,3680.92958530301,0,"2017"
"486","11-201",1,8.67,6.62,4.7,"North",143.866837,-11.530817,-5041.6794652722,3680.92765460762,0,"2017"
"488","11-203",2,8.67,6.62,4.7,"North",143.855957,-11.539862,-5040.81798148638,3681.76633566574,0,"2017"
"489","11-204",1,8.92,7.07,4.71,"North",143.865021,-11.550422,-5041.21056196934,3680.83026736098,0,"2017"
"490","11-208a",0,8.92,7.07,4.71,"North",143.861786,-11.558814,-5040.85178010513,3681.00466711958,0,"2017"
"494","11-212",1,8.92,7.07,4.71,"North",143.855316,-11.592343,-5039.8319548384,3681.13261404439,0,"2017"
"495","11-215",2,9.3,7.5,5.1,"North",143.879593,-11.630122,-5040.70826909503,3678.4984287269,0,"2017"
"498","11-223",2,9.73,9.55,7.18,"North",143.894836,-11.76935,-5039.15030776487,3675.30733173325,0,"2017"
"499","11-224",2,9.73,9.55,7.18,"North",143.8694,-11.781277,-5037.29959268468,3677.384478243,0,"2017"
"500","11-225",2,9.73,9.55,7.18,"North",143.869507,-11.791147,-5037.12539967767,3677.24289180596,0,"2017"
"501","11-226",2,9.64,9.58,7.23,"North",143.864319,-11.80083,-5036.6146496125,3677.56917966689,0,"2017"
"502","11-227",3,9.64,9.58,7.23,"North",143.865005,-11.808615,-5036.51565555599,3677.40444667444,1,"2017"
"503","11-228",1,11.73,11.05,8.43,"North",143.969101,-11.801979,-5043.31059708549,3668.33674973067,0,"2017"
"504","11-229a",2,9.64,9.58,7.23,"North",143.856049,-11.825835,-5035.6241148212,3677.96038480917,0,"2017"
"505","11-229b",1,9.03,8.93,6.63,"North",143.842743,-11.844261,-5034.43055220047,3678.88179846504,0,"2017"
"508","11-232",1,8.92,8.79,6.51,"North",143.838226,-11.870151,-5033.66293693165,3678.92964513571,0,"2017"
"509","11-236",1,8.92,8.79,6.51,"North",143.833908,-11.897492,-5032.880243676,3678.939533922,0,"2017"
"512","11-238",1,9.91,9.56,7.24,"North",143.853027,-11.926991,-5033.56085319282,3676.86053774337,0,"2017"
"513","11-239",1,9.9,9.1,6.95,"North",143.868088,-11.953409,-5034.03633638218,3675.17891034904,0,"2017"
"515","11-241",2,9.9,9.1,6.95,"North",143.884109,-11.979672,-5034.57465218475,3673.41426009491,0,"2017"
"516","11-242",2,11.05,10.85,8.36,"North",143.904602,-11.993566,-5035.62893567873,3671.42427930745,0,"2017"
"518","11-244a",1,10.78,10.32,7.77,"North",144.018341,-11.681368,-5048.66978454627,3665.60464948815,0,"2017"
"519","11-244b",1,12.55,13.28,10.06,"North",144.070328,-11.777905,-5050.22662788715,3659.74173803269,0,"2017"
"520","11-244c",1,11.39,10.57,8.27,"North",143.997635,-11.784178,-5045.46411937414,3666.0624615221,0,"2017"
"522","11-281",0,9.3,7.5,5.1,"North",143.889816,-11.632063,-5041.32937126964,3677.5733376652,0,"2017"
"529","12-004",2,10.37,5.04,3.01,"North",143.259995,-12.1,-4992.02629778637,3726.36659151575,0,"2017"
"531","12-006",2,10.8,5.68,3.63,"North",143.270004,-12.14,-4991.92872762557,3724.93598812776,0,"2017"
"532","12-007",1,9.94,5.86,3.75,"North",143.369995,-12.14,-4998.42177718431,3716.21854506869,0,"2017"
"538","12-014",3,10.69,5.91,3.99,"North",143.299286,-12.271646,-4991.35037352322,3720.53466716358,1,"2017"
