"","ReefID","score","DHW_25km_max_98","DHW_25km_max","region","Long_unique","Lat_unique","X","Y","bin.score","year"
"620","12-134",0,4.01,4.59,"North",143.821701,-12.935329,-5012.06776996237,3665.36467874954,0,"2002"
"621","12-135",0,4.01,4.59,"North",143.815018,-12.948685,-5011.37174837646,3665.75288961416,0,"2002"
"624","12-139",0,4.89,4.39,"North",143.685928,-12.952148,-5003.03039137679,3676.98331883368,0,"2002"
"625","12-143",0,4.01,4.59,"North",143.852173,-12.999448,-5012.7245364021,3661.75483609469,0,"2002"
"626","12-145",0,4.89,4.39,"North",143.614868,-12.988521,-4997.73543604374,3682.64690285693,0,"2002"
"627","13-002",0,3.78,5.19,"North",143.853958,-13.023613,-5012.35008479419,3661.24182487351,0,"2002"
"628","13-005",0,3.78,5.19,"North",143.869995,-13.04,-5013.04280398838,3659.59646939476,0,"2002"
"631","13-009",0,3.78,5.19,"North",143.866608,-13.053287,-5012.5570904181,3659.69613673811,0,"2002"
"632","13-010a",0,3.78,5.19,"North",143.879501,-13.061458,-5013.21467412195,3658.44708767309,0,"2002"
"641","13-026",0,4.02,5.05,"North",143.658905,-13.16553,-4996.97719783429,3676.16557198787,0,"2002"
"642","13-027",0,3.78,5.19,"North",143.761276,-13.166056,-5003.52671889178,3667.2236795342,0,"2002"
"645","13-031",0,4.02,5.05,"North",143.573914,-13.183738,-4991.14728069064,3683.29989957943,0,"2002"
"647","13-034",0,4.02,5.05,"North",143.56813,-13.212465,-4990.18864450943,3683.37061919344,0,"2002"
"651","13-045",0,4.06,5.4,"North",143.596008,-13.275628,-4990.68519192002,3679.98720777844,0,"2002"
"652","13-048",0,4.06,5.4,"North",143.675476,-13.302075,-4995.23984260668,3672.66128405982,0,"2002"
"655","13-052",0,4.06,5.4,"North",143.730972,-13.323596,-4998.3505218977,3667.49525218342,0,"2002"
"657","13-055",0,3.94,5.4,"North",143.783997,-13.331079,-5001.58775741822,3662.75458075608,0,"2002"
"658","13-056",0,3.94,5.4,"North",143.95874,-13.367212,-5011.98520611898,3646.93772536423,0,"2002"
"661","13-061a",0,3.94,5.4,"North",143.974762,-13.401638,-5012.28817268085,3645.01488528186,0,"2002"
"663","13-061c",0,3.94,5.4,"North",143.977463,-13.442066,-5011.61605874776,3644.16493013775,0,"2002"
"669","13-076",0,3.87,4.58,"North",143.799591,-13.530557,-4998.42702272998,3658.3503560936,0,"2002"
"670","13-077",0,3.87,4.58,"North",143.839996,-13.56,-5000.38656012453,3654.37211306515,0,"2002"
"673","13-081",0,4.02,4.33,"North",143.730774,-13.65335,-4991.4423877924,3662.45300601015,0,"2002"
"674","13-083",3,4.02,4.33,"North",143.690521,-13.66621,-4988.59598424769,3665.75886154565,1,"2002"
"678","13-091",2,4.04,4.62,"North",143.640488,-13.771402,-4983.15906977159,3668.46915278719,0,"2002"
"681","13-097",2,4.04,4.62,"North",143.714096,-13.86795,-4985.80075701249,3660.5466082228,0,"2002"
"682","13-107",1,3.34,4.1,"North",143.838837,-13.915564,-4992.73219919615,3648.93310683392,0,"2002"
"684","13-111",3,3.34,4.1,"North",143.754395,-13.943786,-4986.73975345642,3655.84072799991,1,"2002"
"685","13-113",1,3.34,4.1,"North",143.839355,-13.961132,-4991.77978989674,3648.16780464834,0,"2002"
"703","14-006",3,2.8,3.39,"North",143.855408,-14.064459,-4990.55514881003,3645.1281617158,1,"2002"
"704","14-008",3,2.8,3.39,"North",143.91124,-14.077957,-4993.80989436511,3640.04842703847,1,"2002"
"712","14-022",3,2.8,3.39,"North",143.998978,-14.127316,-4998.29620555891,3631.6109808173,1,"2002"
"713","14-025",3,2.09,4.3,"North",144.485153,-14.148385,-5028.46562328885,3588.73601655351,1,"2002"
"716","14-026d",1,2.43,3.79,"North",144.218048,-14.175982,-5011.07176792372,3611.69995289411,0,"2002"
"726","14-038",2,2.91,4.89,"North",144.524612,-14.12028,-5031.55743419683,3585.71500836074,0,"2002"
"727","14-039",0,2.91,4.89,"North",144.653198,-14.180985,-5038.24597700076,3573.45923499055,0,"2002"
"728","14-042a",4,2.09,4.3,"North",144.278854,-14.173673,-5014.95296032252,3606.41655326906,1,"2002"
"729","14-042b",4,2.09,4.3,"North",144.255157,-14.194562,-5012.99900280766,3608.15789039729,1,"2002"
"730","14-042c",2,2.43,3.79,"North",144.244247,-14.170516,-5012.84349582969,3609.49517920225,0,"2002"
"733","14-048",0,2.91,4.89,"North",144.672516,-14.217171,-5038.64528961954,3571.18960276433,0,"2002"
"737","14-052",0,3.23,4.48,"North",144.686584,-14.294876,-5037.78573875869,3568.72240240566,0,"2002"
"740","14-055",0,3.23,4.48,"North",144.740219,-14.317655,-5040.61316846134,3563.64361200031,0,"2002"
"741","14-061",1,3.33,5.08,"North",144.757965,-14.360321,-5040.75707192964,3561.40424741697,0,"2002"
"743","14-063",3,3.33,5.08,"North",144.949997,-14.42,-5051.31498534088,3543.54259935059,1,"2002"
"744","14-064",1,3.33,5.08,"North",144.890839,-14.426194,-5047.51323971332,3548.65753612592,0,"2002"
"745","14-065",1,3.33,5.08,"North",144.811295,-14.425495,-5042.59758403367,3555.67275900067,0,"2002"
"751","14-072",0,3.33,5.08,"North",144.960464,-14.477703,-5050.65145063232,3541.70056879778,0,"2002"
"761","14-083",0,2.88,6.41,"North",145.320007,-14.42,-5074.09331378671,3510.8480852248,0,"2002"
"763","14-085",1,2.88,6.41,"North",145.410004,-14.45,-5078.91712149357,3502.40157643041,0,"2002"
"764","14-086",1,2.88,6.41,"North",145.479996,-14.45,-5083.19183255501,3496.19460600076,0,"2002"
"765","14-087",0,3.65,6.18,"North",145.025803,-14.473711,-5054.77797349497,3536.00220430221,0,"2002"
"766","14-088",0,3.65,6.18,"North",145.22142,-14.453877,-5067.27341593179,3519.03801246688,0,"2002"
"767","14-089",1,2.36,7.29,"North",145.539993,-14.5,-5085.70423063246,3490.08351485802,0,"2002"
"768","14-090",1,3.33,5.08,"North",144.967834,-14.495228,-5050.70782744839,3540.77104627264,0,"2002"
"771","14-094",2,2.96,5.22,"North",144.973862,-14.521224,-5050.4873141537,3539.82402013248,0,"2002"
"773","14-097",1,2.96,5.22,"North",144.990341,-14.539529,-5051.08693376777,3538.07830786077,0,"2002"
"779","14-104",1,2.96,5.22,"North",144.935257,-14.614287,-5045.97068017062,3541.73083634592,0,"2002"
"781","14-106",3,2.96,5.22,"North",144.952621,-14.684516,-5045.42695316254,3539.06732380347,1,"2002"
"782","14-107a",3,2.96,5.22,"North",144.993668,-14.71187,-5047.32893804825,3535.00912130357,1,"2002"
"784","14-108",3,2.96,5.22,"North",144.952652,-14.718466,-5044.64453501495,3538.51443160851,1,"2002"
"785","14-109",0,2.72,5.54,"North",145.158646,-14.506159,-5062.2218323208,3523.75720820698,0,"2002"
"788","14-115",0,2.72,5.54,"North",145.25,-14.66,-5064.29486249813,3513.226354481,0,"2002"
"792","14-116d",1,2.81,6.56,"North",145.449295,-14.68558,-5075.89104627972,3495.18112071954,0,"2002"
"793","14-118",1,2.81,6.56,"North",145.380005,-14.71,-5071.09351642439,3500.92562186923,0,"2002"
"794","14-119b",3,2.72,5.54,"North",145.161774,-14.720233,-5057.48503864814,3520.05010044828,1,"2002"
"795","14-120a",4,2.72,5.54,"North",145.190002,-14.73,-5058.99200093779,3517.40040824235,1,"2002"
"799","14-120e",4,2.72,5.54,"North",145.203934,-14.701283,-5060.51323793808,3516.6330458393,1,"2002"
"803","14-122a",3,2.72,5.54,"North",145.101212,-14.732041,-5053.48776028249,3525.20297247917,1,"2002"
"804","14-122b",4,2.72,5.54,"North",145.082626,-14.736205,-5052.24740362387,3526.77466664786,1,"2002"
"806","14-124",2,2.72,5.54,"North",145.086823,-14.780177,-5051.48436114499,3525.69170555207,0,"2002"
"809","14-127b",3,2.72,5.54,"North",145.135864,-14.798333,-5054.07740171523,3521.07212702827,1,"2002"
"810","14-129a",4,2.72,5.54,"North",145.181564,-14.816164,-5056.46825643066,3516.75047177902,1,"2002"
"811","14-131",4,2.87,7.23,"North",145.270004,-14.85,-5061.0989868239,3508.39253957369,1,"2002"
"812","14-132a",1,2.87,7.23,"North",145.481079,-14.854711,-5073.87873534215,3489.64782935455,0,"2002"
"813","14-132b",1,2.51,7.51,"North",145.529297,-14.865668,-5076.55609696889,3485.19975700696,0,"2002"
"815","14-134",1,2.87,7.23,"North",145.47905,-14.895716,-5072.79075450351,3489.164174191,0,"2002"
"816","14-135",2,2.87,7.23,"North",145.479996,-14.94,-5071.80391398458,3488.36205102526,0,"2002"
"817","14-137",0,2.36,7.29,"North",145.589996,-14.55,-5087.59774984132,3484.85581627135,0,"2002"
"820","14-140",1,2.36,7.29,"North",145.649948,-14.664392,-5088.5929828013,3477.7204475445,0,"2002"
"821","14-143",1,2.36,7.29,"North",145.509995,-14.74,-5078.32433073182,3488.93142338726,0,"2002"
"822","14-145",0,2.51,7.51,"North",145.587555,-14.790204,-5081.86883272938,3481.24977109413,0,"2002"
"824","14-147a",0,2.51,7.51,"North",145.520004,-14.82,-5077.06306406062,3486.75952274253,0,"2002"
"825","14-147b",0,2.51,7.51,"North",145.520004,-14.81,-5077.29743926074,3486.92048390268,0,"2002"
"826","14-150",1,2.51,7.51,"North",145.557632,-14.88144,-5077.90779150622,3482.43417076453,0,"2002"
"832","14-154",1,2.51,7.51,"North",145.699997,-14.99,-5083.97488349355,3468.05291853908,0,"2002"
"833","15-002",1,3.48,7.58,"Central",145.440002,-15.02,-5067.47411843448,3490.59710736111,0,"2002"
"838","15-009",1,3.48,7.58,"Central",145.496292,-15.165733,-5067.4237766155,3483.2267474833,0,"2002"
"839","15-012",1,4.4,8.41,"Central",145.429993,-15.41,-5057.492742951,3485.02454641787,0,"2002"
"841","15-016",1,3.31,8.14,"Central",145.568863,-15.005171,-5075.66410910273,3479.4327923029,0,"2002"
"844","15-019",1,3.31,8.14,"Central",145.570007,-15.05,-5074.66752990468,3478.60068802288,0,"2002"
"846","15-021a",1,3.31,8.14,"Central",145.722122,-15.075004,-5083.28796130798,3464.70873789552,0,"2002"
"848","15-024",2,3.31,8.14,"Central",145.580002,-15.14,-5073.12441017293,3476.2422327105,0,"2002"
"849","15-026",1,3.31,8.14,"Central",145.742584,-15.204585,-5081.41463386476,3460.77477338389,0,"2002"
"851","15-028",1,3.31,8.14,"Central",145.559998,-15.21,-5070.23004820178,3476.86093025732,0,"2002"
"852","15-029",0,3.31,8.14,"Central",145.719681,-15.241116,-5079.14952672278,3462.20495510009,0,"2002"
"853","15-030",0,3.31,8.14,"Central",145.541443,-15.242643,-5068.31779664069,3477.96334178945,0,"2002"
"855","15-032",0,3.59,9.28,"Central",145.75,-15.28,-5080.04020772245,3458.87626215329,0,"2002"
"856","15-033",2,3.59,9.28,"Central",145.575851,-15.29082,-5069.24196352665,3474.12160313855,0,"2002"
"857","15-034",1,2.54,8.75,"Central",145.763596,-15.314524,-5080.02353029101,3457.10088462795,0,"2002"
"860","15-038",1,2.54,8.75,"Central",145.781693,-15.36501,-5079.8871917807,3454.66104144588,0,"2002"
"861","15-039",2,3.59,9.28,"Central",145.580002,-15.36,-5067.81648808545,3472.60510075067,0,"2002"
"862","15-043",1,3.59,9.28,"Central",145.508667,-15.427545,-5061.84581823279,3477.7829903892,0,"2002"
"864","15-046",0,2.54,8.75,"Central",145.799133,-15.433749,-5079.25981395788,3451.97376351038,0,"2002"
"866","15-048",3,3.59,9.28,"Central",145.649994,-15.49,-5068.8805312041,3464.24230593759,1,"2002"
"868","15-050",0,2.54,8.75,"Central",145.803375,-15.489667,-5078.14432538158,3450.66605638079,0,"2002"
"869","15-051",4,5.14,10.1,"Central",145.328217,-15.504728,-5048.98540133754,3492.40577622804,1,"2002"
"870","15-052",1,5.14,10.1,"Central",145.352539,-15.534627,-5049.73565404886,3489.75643190149,0,"2002"
"880","15-070",1,4.36,10.66,"Central",145.619995,-15.5,-5066.82085550792,3466.72805746411,0,"2002"
"881","15-071a",1,4.36,10.66,"Central",145.536423,-15.513266,-5061.4337216371,3473.89169763072,0,"2002"
"882","15-071b",1,4.36,10.66,"Central",145.548416,-15.506972,-5062.31508024584,3472.93804757832,0,"2002"
"884","15-075c",0,3.52,10.18,"Central",145.776367,-15.576245,-5074.38553557336,3451.60944360794,0,"2002"
"885","15-077",3,4.36,10.66,"Central",145.649994,-15.56,-5067.16049552858,3463.06677609068,1,"2002"
"886","15-078",1,4.36,10.66,"Central",145.526993,-15.553443,-5059.87561067654,3474.04750753025,0,"2002"
"887","15-080",0,3.52,10.18,"Central",145.804153,-15.607147,-5075.29491884278,3448.62911125237,0,"2002"
"889","15-082",3,4.36,10.66,"Central",145.630005,-15.61,-5064.71908011476,3463.99110596765,1,"2002"
"890","15-084",2,4.36,10.66,"Central",145.716736,-15.647202,-5069.03605683818,3455.69272761596,0,"2002"
"891","15-085",0,3.52,10.18,"Central",145.805099,-15.648169,-5074.33549481298,3447.85472615458,0,"2002"
"893","15-087",0,3.52,10.18,"Central",145.798096,-15.719224,-5072.14757163177,3447.27433565055,0,"2002"
"894","15-088",0,3.52,10.18,"Central",145.77887,-15.747919,-5070.27510602351,3448.48954939097,0,"2002"
"895","15-089",3,6.54,12.2,"Central",145.580002,-15.78,-5057.47576994163,3465.51936063832,1,"2002"
"896","15-090",1,6.15,11.88,"Central",145.797073,-15.792133,-5070.26537274273,3446.12744981435,0,"2002"
"897","15-091a",1,6.15,11.88,"Central",145.775284,-15.811248,-5068.47591383685,3447.7298362724,0,"2002"
"899","15-093",2,6.54,12.2,"Central",145.570007,-15.88,-5054.36929516616,3464.68658371732,0,"2002"
"900","15-094",1,6.15,11.88,"Central",145.794266,-15.875783,-5067.99762572111,3444.94911994471,0,"2002"
"901","15-095",3,6.54,12.2,"Central",145.660004,-15.91,-5059.05082430678,3456.2278251502,1,"2002"
"903","15-098",2,6.54,12.2,"Central",145.670181,-15.974342,-5058.04185289741,3454.22093791839,0,"2002"
"915","16-014a",1,4.36,11.3,"Central",145.701111,-16.021626,-5058.70873390209,3450.67339500444,0,"2002"
"916","16-014b",1,4.36,11.3,"Central",145.711044,-16.031034,-5059.0682601263,3449.63364013403,0,"2002"
"917","16-015",2,4.36,11.3,"Central",145.650665,-16.045025,-5055.07532911572,3454.72051792376,0,"2002"
"918","16-018a",1,4.32,11.39,"Central",145.756943,-16.076227,-5060.68132328724,3444.7978016098,0,"2002"
"921","16-020a",1,4.36,11.3,"Central",145.690079,-16.123335,-5055.45795921201,3449.8824672974,0,"2002"
"922","16-020b",1,4.32,11.39,"Central",145.776627,-16.11599,-5060.8508975443,3442.36955890055,0,"2002"
"923","16-023",2,4.36,11.3,"Central",145.699997,-16.190001,-5054.35102615539,3447.8448909122,0,"2002"
"924","16-024",1,4.32,11.39,"Central",145.792648,-16.212303,-5059.34758986647,3439.27818825476,0,"2002"
"926","16-026",2,3.32,9.97,"Central",145.809418,-16.324827,-5057.45466478141,3435.82750774323,0,"2002"
"929","16-029",1,3.32,9.97,"Central",145.770004,-16.42,-5052.62359439982,3437.62771736309,0,"2002"
"940","16-049",3,4.61,7.83,"Central",145.990005,-16.77,-5056.57207399525,3411.98449843443,1,"2002"
"941","16-052",3,4.61,7.83,"Central",145.956512,-16.898174,-5051.15660408854,3412.62914508795,1,"2002"
"942","16-054",3,4.61,7.83,"Central",145.985535,-16.931496,-5051.99103052057,3409.4670025172,1,"2002"
"944","16-055",3,4.61,7.83,"Central",146,-16.92,-5053.16015902542,3408.39956423148,1,"2002"
"951","16-067",1,2.8,9.03,"Central",146.272614,-16.789604,-5072.81656954013,3386.65234528434,0,"2002"
"952","16-068",4,3.92,7.85,"Central",146.184692,-16.803022,-5067.2554720215,3394.19279469976,1,"2002"
"953","16-071",2,3.92,7.85,"Central",146.210007,-16.870001,-5066.96184771837,3390.75388512166,0,"2002"
"954","16-072",1,2.8,9.03,"Central",146.398254,-16.875145,-5077.93662770419,3373.99608310125,0,"2002"
"955","16-073",2,3.92,7.85,"Central",146.25,-16.92,-5067.98395804743,3386.31861808499,0,"2002"
"959","17-001a",3,4.12,7.96,"Central",146.220001,-17.02,-5063.51269632679,3387.16716393405,1,"2002"
"960","17-001c",2,3.92,7.85,"Central",146.215698,-16.949585,-5065.15929486841,3388.81928246328,0,"2002"
"961","17-004",1,4.12,7.96,"Central",146.179993,-17.07,-5059.7923717898,3389.79498262079,0,"2002"
"963","17-006",2,3.51,8.83,"Central",146.341904,-17.103992,-5068.4269121254,3374.86757993055,0,"2002"
"966","17-010",2,3.51,8.83,"Central",146.289993,-17.190001,-5063.0216132428,3377.89341435101,0,"2002"
"967","17-011",3,3.51,8.83,"Central",146.369995,-17.200001,-5067.45952071956,3370.63858123623,1,"2002"
"968","17-012a",1,4.12,7.96,"Central",146.080002,-17.209999,-5050.06188719187,3396.05989347045,0,"2002"
"970","17-013",1,4.12,7.96,"Central",146.089996,-17.23,-5050.10776376043,3394.81165427661,0,"2002"
"973","17-016b",2,4.01,8.63,"Central",146.465485,-17.274746,-5071.01709034829,3360.82780555893,0,"2002"
"974","17-017",2,4.01,8.63,"Central",146.360001,-17.299999,-5064.12637127344,3369.69580889354,0,"2002"
"978","17-023",2,4.01,8.63,"Central",146.458908,-17.475199,-5065.0834485211,3357.73214173956,0,"2002"
"979","17-024",1,4.01,8.63,"Central",146.389999,-17.49,-5060.62971072685,3363.54774988406,0,"2002"
"980","17-030",3,2.9,9.29,"Central",146.544189,-17.309837,-5074.66121946956,3353.2194537274,1,"2002"
"981","17-031",3,2.9,9.29,"Central",146.534561,-17.354185,-5072.87214900695,3353.26206079124,1,"2002"
"982","17-032",2,2.9,9.29,"Central",146.545151,-17.430731,-5071.36914842234,3350.92180347303,0,"2002"
"983","17-034",2,5.11,8.55,"Central",146.380005,-17.530001,-5058.9285359975,3363.68944887843,0,"2002"
"984","17-035",2,3.74,8.54,"Central",146.520004,-17.530001,-5067.13241099047,3351.31821382509,0,"2002"
"985","17-037",3,5.11,8.55,"Central",146.449997,-17.610001,-5060.79585686279,3356.02291889378,1,"2002"
"986","17-042",2,5.11,8.55,"Central",146.470001,-17.66,-5060.56322608472,3353.32544560653,0,"2002"
"990","17-044",1,5.11,8.55,"Central",146.389999,-17.719999,-5054.18768910753,3359.26605994408,0,"2002"
"991","17-046",1,6.09,8.3,"Central",146.149994,-17.75,-5039.22789570939,3379.84186411292,0,"2002"
"992","17-047",1,5.57,8.11,"Central",146.440002,-17.77,-5055.70537995529,3353.91714738087,0,"2002"
"994","17-051",2,5.57,8.11,"Central",146.490005,-17.85,-5056.36188406964,3348.00155415195,0,"2002"
"1001","17-059c",2,3.74,8.54,"Central",146.57196,-17.692499,-5065.60676775311,3343.7102950021,0,"2002"
"1004","17-062",1,4.6,8.43,"Central",146.646622,-17.773588,-5067.66565506833,3335.59654513017,0,"2002"
"1005","17-063a",1,4.6,8.43,"Central",146.520004,-17.790001,-5059.81707101564,3346.47996802658,0,"2002"
"1008","17-066",2,4.6,8.43,"Central",146.589996,-17.889999,-5061.05774337754,3338.42073800073,0,"2002"
"1011","17-069",1,3.82,7.76,"Central",146.770004,-18,-5068.36883311863,3320.43860864205,0,"2002"
"1018","18-008",3,5.91,6.83,"Central",146.289993,-18.15,-5036.06861346134,3359.91119594201,1,"2002"
"1021","18-016",1,3.82,7.76,"Central",146.839188,-18.011734,-5072.03689381917,3314.09557936862,0,"2002"
"1023","18-018",2,5.05,7.48,"Central",146.559998,-18.049999,-5054.72887319321,3338.04532555109,0,"2002"
"1024","18-019",0,3.82,7.76,"Central",146.861328,-18.059341,-5071.94475777788,3311.23945477853,0,"2002"
"1026","18-022",1,3.82,7.76,"Central",146.759995,-18.120001,-5064.32888503588,3319.05645467507,0,"2002"
"1027","18-023",1,3.82,7.76,"Central",146.970001,-18.139999,-5075.88004356909,3300.0947693722,0,"2002"
"1028","18-024",1,5.05,7.48,"Central",146.729996,-18.23,-5059.40052581656,3319.61462497585,0,"2002"
"1030","18-026",1,5.29,6.48,"Central",146.740005,-18.32,-5057.35626363823,3317.0096652324,0,"2002"
"1031","18-027",1,4.15,6.75,"Central",146.830002,-18.35,-5061.68182318539,3308.48763063027,0,"2002"
"1034","18-030",0,4.15,6.75,"Central",146.990005,-18.43,-5068.54789936684,3292.81070898235,0,"2002"
"1035","18-031",0,4.15,6.75,"Central",146.990005,-18.469999,-5067.36752875638,3292.04387456274,0,"2002"
"1036","18-032",1,4.15,6.75,"Central",146.869995,-18.48,-5060.16589009863,3302.45799762912,0,"2002"
"1037","18-033",1,2.76,8.21,"Central",147.026901,-18.210075,-5077.11581358151,3293.72952741617,0,"2002"
"1040","18-037",2,3.48,7.58,"Central",147.204742,-18.358568,-5082.96020776708,3275.1489484046,0,"2002"
"1042","18-041",1,2.32,8.53,"Central",147.350006,-18.42,-5089.43302246161,3261.08881388787,0,"2002"
"1045","18-044",0,3.48,7.58,"Central",147.101471,-18.49284,-5073.08643996914,3281.74204938741,0,"2002"
"1047","18-048",1,6.41,6.28,"Central",146.490005,-18.559999,-5035.79672136734,3334.3846101382,0,"2002"
"1048","18-049a",0,6.41,6.28,"Central",146.490005,-18.6,-5034.61504977248,3333.60218229249,0,"2002"
"1050","18-049c",0,6.41,6.28,"Central",146.490005,-18.66,-5032.83798593191,3332.42552353339,0,"2002"
