"","ReefID","score","DHW_25km_max_98","DHW_25km_max","region","Long_unique","Lat_unique","X","Y","bin.score","year"
"173","10-327",0,7.1,3.07,"North",142.729996,-10.7,-4981.82925772731,3791.0168036113,0,"2002"
"176","10-336",0,6.58,2.53,"North",142.759995,-10.82,-4981.83025643413,3786.90035876397,0,"2002"
"180","10-341",0,6.58,2.53,"North",142.776794,-10.898384,-4981.63282059109,3784.44622769205,0,"2002"
"368","11-001",1,6.51,2.7,"North",142.990005,-11.01,-4993.79784036737,3764.46258891215,0,"2002"
"370","11-009",0,4.7,3.22,"North",142.869995,-11.26,-4981.62180998624,3771.67360186001,0,"2002"
"371","11-010",0,4.7,3.22,"North",142.929993,-11.25,-4985.74179839497,3766.58578764347,0,"2002"
"372","11-013",0,4.7,3.22,"North",142.970001,-11.39,-4985.93127167736,3761.26323864144,0,"2002"
"373","11-025",0,6.84,2.14,"North",143.089996,-11.07,-4999.33833154809,3754.97455370121,0,"2002"
"374","11-026",0,6.84,2.14,"North",143.020004,-11.11,-4994.06411809338,3760.56426005796,0,"2002"
"375","11-034",0,6.84,2.14,"North",143.100006,-11.17,-4998.27930942754,3752.81344068132,0,"2002"
"376","11-035",1,6.84,2.14,"North",143.029999,-11.18,-4993.51801844106,3758.7881959638,0,"2002"
"378","11-038",0,6.51,2.7,"North",143,-11.24,-4990.51346083248,3760.62163050282,0,"2002"
"385","11-052",0,4.28,2.93,"North",143.070007,-11.39,-4992.48871006036,3752.55489982033,0,"2002"
"386","11-053",0,4.28,2.93,"North",143.038101,-11.384626,-4990.492542917,3755.40539992432,0,"2002"
"387","11-054",0,4.28,2.93,"North",143.165771,-11.432157,-4998.01144818352,3743.64923152975,0,"2002"
"388","11-055",0,4.28,2.93,"North",143.039993,-11.46,-4989.29027266235,3754.24263284637,0,"2002"
"389","11-056a",0,4.65,3.37,"North",143.364426,-11.518764,-5009.42387413587,3725.15446438001,0,"2002"
"391","11-059",0,4.28,2.93,"North",143.15683,-11.469568,-4996.76627456401,3743.93391909463,0,"2002"
"393","11-061",0,4.28,2.93,"North",143.039993,-11.49,-4988.75999178231,3753.84361755994,0,"2002"
"394","11-062",0,4.28,2.93,"North",143.026306,-11.495616,-4987.76371652512,3754.96040769359,0,"2002"
"460","11-165",0,3.52,3.48,"North",143.187744,-11.709621,-4994.49231190557,3738.02414812085,0,"2002"
"461","11-167",0,4.59,3.96,"North",143.080002,-11.77,-4986.36218624628,3746.58885529372,0,"2002"
"462","11-169",0,4.59,3.96,"North",143.084686,-11.789001,-4986.32360520647,3745.922134758,0,"2002"
"464","11-174",0,5.3,4.33,"North",143.285416,-11.865437,-4998.0199915054,3727.38866592422,0,"2002"
"465","11-175",0,5.3,4.33,"North",143.300003,-11.87,-4998.88512879214,3726.05373436392,0,"2002"
"466","11-176",1,4.59,3.96,"North",143.110001,-11.9,-4985.95200882929,3742.1979222648,0,"2002"
"469","11-181",0,4.59,3.96,"North",143.207535,-11.927081,-4991.81727579185,3733.33266366776,0,"2002"
"473","11-184c",0,5.3,4.33,"North",143.491302,-11.911349,-5010.53633079702,3708.77910965523,0,"2002"
"474","11-185",1,5.3,4.33,"North",143.270004,-11.95,-4995.46220413927,3727.57263911925,0,"2002"
"477","11-188",0,5.3,4.33,"North",143.28363,-11.968041,-4996.01533662666,3726.13600321793,0,"2002"
"481","11-191",0,5.3,4.33,"North",143.259995,-11.99,-4994.07172864604,3727.89343147333,0,"2002"
"525","12-001",0,5.78,4.6,"North",143.300003,-12.03,-4995.93154197506,3723.85219884029,0,"2002"
"526","12-003",0,5.78,4.6,"North",143.476059,-12.100862,-5006.02685644719,3707.5031102471,0,"2002"
"529","12-004",0,5.78,4.6,"North",143.259995,-12.1,-4992.02629778637,3726.36659151575,0,"2002"
"530","12-005",0,5.3,4.38,"North",143.218521,-12.126659,-4988.82941016427,3729.60666711083,0,"2002"
"531","12-006",0,5.78,4.6,"North",143.270004,-12.14,-4991.92872762557,3724.93598812776,0,"2002"
"532","12-007",0,5.78,4.6,"North",143.369995,-12.14,-4998.42177718431,3716.21854506869,0,"2002"
"534","12-010",0,5.78,4.6,"North",143.279999,-12.23,-4990.88531590243,3722.80216780477,0,"2002"
"535","12-011",0,5.3,4.38,"North",143.205353,-12.241418,-4985.81547332392,3729.1400611955,0,"2002"
"536","12-012",0,5.3,4.38,"North",143.236908,-12.251727,-4987.67370376854,3726.24808495805,0,"2002"
"537","12-013",0,5.78,4.6,"North",143.275589,-12.246572,-4990.28567348709,3722.95272475591,0,"2002"
"538","12-014",0,5.93,4.79,"North",143.299286,-12.271646,-4991.35037352322,3720.53466716358,0,"2002"
"539","12-016a",0,5.93,4.79,"North",143.433151,-12.311656,-4999.26865330509,3708.29855089424,0,"2002"
"541","12-016c",0,6.17,4.61,"North",143.510056,-12.236976,-5005.66088833655,3702.63480292127,0,"2002"
"545","12-024",0,5.93,4.79,"North",143.48497,-12.384803,-5001.2224915699,3702.7406415253,0,"2002"
"547","12-027c",0,5.98,5,"North",143.543671,-12.378464,-5005.13498150067,3697.70462611645,0,"2002"
"550","12-030",0,6.17,4.61,"North",143.659668,-12.127691,-5017.37782064859,3691.07088199322,0,"2002"
"584","12-072",0,5.93,4.79,"North",143.390121,-12.518707,-4992.50896930706,3709.10014578483,0,"2002"
"590","12-084",1,5.06,4.22,"North",143.399994,-12.75,-4988.63187697376,3704.88580496932,0,"2002"
"592","12-086",0,5.06,4.22,"North",143.466217,-12.778215,-4992.35372602376,3698.70478711785,0,"2002"
"593","12-088",1,5.06,4.22,"North",143.412781,-12.779979,-4988.86717978679,3703.3333570573,0,"2002"
"594","12-089",1,5.06,4.22,"North",143.487,-12.783098,-4993.5984968513,3696.82218986754,0,"2002"
"596","12-096",0,5.39,4.94,"North",143.532516,-12.558213,-5000.94469060438,3696.11418422634,0,"2002"
"600","12-102",0,5.39,4.94,"North",143.551682,-12.583668,-5001.68525397271,3694.0751209973,0,"2002"
"607","12-112",0,5.39,4.94,"North",143.610001,-12.71,-5002.96688535488,3687.15753291782,0,"2002"
"610","12-115",0,4.89,4.39,"North",143.610001,-12.77,-5001.78250053964,3686.28464818893,0,"2002"
"614","12-124",0,4.89,4.39,"North",143.598007,-12.87912,-4998.84299877136,3685.73331373397,0,"2002"
"616","12-129",0,4.89,4.39,"North",143.600784,-12.887245,-4998.85949380221,3685.37149115918,0,"2002"
"619","12-133",0,4.89,4.39,"North",143.656784,-12.93251,-5001.55335260114,3679.81751231214,0,"2002"
